AAIIIIIIIIIIIII,"See Notepad"
AIRPORTSECURITY,"Traveler's concern"
AIRPORTTERMINAL,"Destination after a touchdown"
AIRPORTTERMINAL,"Gate holder"
AIRQUALITYINDEX,"0-to-500 scale that goes from least to most hazardous"
AIRQUALITYINDEX,"It corresponds to a six-color scale ranging from green to maroon"
AIRQUALITYINDEX,"Pollution measurement"
AIRRAIDSHELTERS,"Bunkers"
AIRSDIRTYLINENS,"Blabs personal sordid details"
AIRSHOWMANEUVER,"Roll"
AIRSONESOPINION,"Thinks out loud"
AIRSTARTINGNECK,"Three lines"
AIRTIGHTDEFENSE,"It's guaranteed to acquit"
AIRTOAIRMISSILE,"Phoenix or Sparrow"
AIRTOAIRMISSILE,"Sparrow, in military defense"
AIRTOAIRMISSILE,"Warplane's cargo"
AIRYVOTERSCOFFS,"... scrambled to get flippant remarks from snobs at the polls?"
AJERKONONEENDOF,"Start of a quip defining a fatuous fisherman"
AJERKONTHEOTHER,"End of the quip"
AKAKADELEDSTATS,"Hawaii senator erased facts, to a palindromist"
AKEITFROMTHETOP,"Start over, starting over"
AKICKINTHEPANTS,"""Ain't that ___!"""
AKICKINTHEPANTS,"""Well, ain't that ___!"""
AKINGAMONGSTMEN,"Fitting phrase for MLK, Jr."
AKLEPTOMANIACIS,"Start of a quip"
AKNIFEINTHEROAD,"Driver's decision point?"
ALABAMAANDITALY,"Where in the world is Florence?"
ALABAMAANDITALY,"Where is Florence?"
ALABAMAMAHARAJA,"Indian prince in Mobile?"
ALABAMASHARPTON,"State ministerial activist?"
ALABAMASLAMMERS,"Cocktails made with Southern Comfort, sloe gin, amaretto and orange juice"
ALABAMASLAMMERS,"Drinks made with Southern Comfort"
ALABAMASLAMMERS,"Southern Comfort concoctions"
ALABAMASLAMMERS,"They include amaretto and sloe gin"
ALADDINSLAMPOON,"""Arabian Nights"" parody?"
ALADYALADYALADY,"Commodores hit, literally?"
ALAMOGMACFIESTA,"Three Bowls"
ALAMOTHERMOSTAT,"Texas shrine's temperature controller?"
ALAMPUNTOMYFEET,"Warm comfort, in Psalms 119"
ALANDTIPPERGORE,"Former Washington duo"
ALANDTIPPERGORE,"Prominent couple"
ALANLADDDIRECTS,"""Shane"" star emulates Kubrick?"
ALARMBUGSWARDEN,"Siren irritates prison head?"
ALARMDIDNTGOOFF,"A tale of morning woes: first the ___"
ALASKANKINGCRAB,"Regal northern complainer?"
ALASKANMALAMUTE,"Eskimo sled dog"
ALASKANMALAMUTE,"It is disqualified from dog shows if it has blue eyes"
ALASKANMALAMUTE,"Sled dog"
ALASKANMALAMUTE,"Sled puller"
ALASKAPENINSULA,"Aleutian Islands connection"
ALASKAPENINSULA,"Home to the Aleutian Islands and Katmai National Park"
ALASKAPENINSULA,"It borders the Bering Sea"
ALASKAPENINSULA,"It separates the Bering Sea from the Pacific"
ALASKAPENINSULA,"Katmai National Park locale"
ALASKATERRITORY,"It became a state in 1959"
ALBERTALLIGATOR,"Pal of Pogo"
ALBERTCAMUSBOOK,"""The Stranger"""
ALBINOALLIGATOR,"1997 Matt Dillon movie"
ALCOHOLICBERAGE,"Frequent part of a New Year's toast"
ALDOOFTHEMOVIES,"RAY"
ALEADERWHOHASNO,"Redefinition, part 1"
ALEEKOFTHEIROWN,"What the veggie-loving children wanted?"
ALEGGSANDERPOPE,"Easter poet?"
ALEROFLEXSENTRA,"Three cars"
ALESSANDROVOLTA,"Electrical pioneer"
ALESSANDROVOLTA,"Electricity pioneer"
ALESSANDROVOLTA,"Italian electrical pioneer"
ALESSANDROVOLTA,"Unsatisfied inventor"
ALESSANDROVOLTA,"Unsatisfied inventor?"
ALEUTIANISLANDS,"Adak and others"
ALEUTIANISLANDS,"Alaskan chain"
ALEUTIANISLANDS,"Arc near the Arctic"
ALEUTIANISLANDS,"Discovery of Vitus Bering before his shipwreck"
ALEUTIANISLANDS,"Japanese attack site, June 1942"
ALEUTIANISLANDS,"Locale of more than 50 volcanoes"
ALEUTIANISLANDS,"Part of the United States invaded by Japan"
ALEUTIANISLANDS,"Places for seals"
ALEUTIANISLANDS,"Unalaska and others"
ALEVEINTHELURCH,"Headache medicine administered to a creepy butler?"
ALEVETHELIGHTON,"Relief for a wee-hours arrival?"
ALEXANDERCALDER,"Artist who created the mobile"
ALEXANDERDARIUS,"Foes at Gaugamela"
ALEXSANDERDUMAS,"___ ""___"" ___ (author with a really smooth writing style?)"
ALEXTHEORDINARY,"Macedonian king to those who knew him when"
ALFREDHITCHCOCK,"""Dial M for Murder"" director"
ALFREDHITCHCOCK,"""Frenzy"" director"
ALFREDHITCHCOCK,"Author of quotation"
ALFREDHITCHCOCK,"Bird man responsible for ""The Birds"""
ALFREDHITCHCOCK,"Born 8/13/1899, he directed the answers to the starred clues"
ALFREDHITCHCOCK,"Celebrity born 8/13/1899 with five famous titles in this puzzle"
ALFREDHITCHCOCK,"Creator of much suspense"
ALFREDHITCHCOCK,"Director from Florida upset and embarrassed by difficulty with rooster (6,9)"
ALFREDHITCHCOCK,"Knighted director"
ALFREDHITCHCOCK,"Link between 17-A, 58-A, 10-D, and 44-D"
ALFREDHITCHCOCK,"Oscar-nominated director--1940, 1944, 1945, 1954 and 1960--who didn't win"
ALFREDHITCHCOCK,"Profile on TV"
ALFREDHITCHCOCK,"Speaker of the quip"
ALFREDSTIEGLITZ,"Another photographer running the gamut?"
ALFREDSTIEGLITZ,"Photographer who married Georgia O'Keeffe"
ALGEBRAIQUATION,"It might have integral roots"
ALGEBRAPROBLEMS,"XYZ affairs?"
ALIASANDFALSEID,"""He will hide his identity with an..."""
ALIASANDFALSEID,"""The escapee will hide his identity with an ___"""
ALIASJESSEJAMES,"1959 Bob Hope movie"
ALIASJESSEJAMES,"Bob Hope film of '59"
ALICESCRUBSTAXI,"Wonderland visitor washes a cab?"
ALIENABDUCTIONS,"Cause for some spatial relationships?"
ALIENCRAFTSPACE,"Where ETs do knitting and art?"
ALIENGHOSTALIVE,"Spirit from Mars is still going?"
ALIENTAXIDRIVER,"MARTIAN AT THE WHEEL?"
ALIENVSPREDATOR,"2004 movie featuring a clash of sci-fi species"
ALIFEFORTHECZAR,"Opera by Glinka"
ALIFEFORTHETSAR,"Opera premiere: St. Petersburg, 1836"
ALIFEINPOLITICS,"Subtitle of Trent Lott's recent memoir"
ALIFEOFILLUSION,"Joe Walsh hit of 1981"
ALIFRAZIERFIGHT,"Memorable 10/1/75 event"
ALIGHTINTHEDARK,"Emerge from a red-eye?"
ALIGNEDSQUARELY,"FLUSH"
ALIMENTARYCANAL,"Digestive tract"
ALIMENTARYCANAL,"Feeding tube?"
ALIMENTARYCANAL,"Food processor?"
ALIMENTARYCANAL,"Part of the body"
ALIMITEDPARTNER,"Quote, part 4"
ALIMONYPAYMENTS,"Ex-claims"
ALINEWAITINGFOR,"Middle of the quip"
ALISONSKIPWORTH,"W.C. Fields' foil"
ALISTAIRMACLEAN,"""Seawitch"" novelist"
ALISTAIRMACLEAN,"""The Guns of Navarone"" author"
ALISTAIRMACLEAN,"""The Guns of Navarone"" novelist"
ALISTAIRMACLEAN,"""Where Eagles Dare"" novelist"
ALISTAIRMACLEAN,"Author of ""The Guns of Navarone"""
ALITTERDAYSAINT,"The good sanitation worker?"
ALITTLEBIRDTOLD,"""___ me."""
ALITTLEBITEXTRA,"110%"
ALITTLEBITFISHY,"Somewhat suspect (and a hint to what can be found by connecting the circled letters in alphabetical order)"
ALITTLELEARNING,"Alexander Pope warned about this ""dang'rous thing"""
ALITTLELEARNING,"Dangerous thing, supposedly"
ALITTLELEARNING,"Dangerous thing?"
ALITTLELEARNING,"Pope called it ""dang'rous"""
ALITTLELEARNING,"Pope's ""dangerous thing"""
ALITTLEPRINCESS,"1995 kids' film"
ALITTLESOFTSHOE,"Dancer's apparel?"
ALIVEANDKICKING,"In a state of being healthy as a mule?"
ALIVEANDKICKING,"Not at all ready to be counted out"
ALIVEANDKICKING,"Spirited"
ALKALINEBATTERY,"Juice provider"
ALLALLITERATIVE,"Like this puzzle's hints, with one exception"
ALLALONGTHELINE,"At every point"
ALLBARKINNOBITE,"Ellen's bluff?"
ALLBERETSAREOFF,"Special Forces order when greeting a lady?"
ALLDRESDENWHITE,"Like German brides?"
ALLEGORICOHENRY,"Twist ending author after turning to symbolism?"
ALLENCOMPASSING,"Totality"
ALLENDUHEMARTIN,"Three Rookie-of-the-Year winners"
ALLENGINESAHEAD,"""Proceed!"""
ALLEXPENSESPAID,"Complimentary"
ALLEXPENSESPAID,"Free"
ALLIESTOSHOPFOR,"""President Bush announced he has begun his Christmas shopping. It's easier for him now; every year there are fewer and fewer ___"" (Leno)"
ALLIGATORWRENCH,"Tool with V-shaped serrated jaws"
ALLITERATIONCAN,"Comment's commencement"
ALLKIDDINGASIDE,"""Back to business!"""
ALLKIDDINGASIDE,"""But seriously..."""
ALLKIDDINGASIDE,"""Really!"""
ALLKIDDINGASIDE,"""Seriously..."""
ALLKIDDINGASIDE,"""This is no joke"""
ALLKIDDINGASIDE,"Truly"
ALLKIDDINGASIDE,"Two forms of ID for somber speakers?"
ALLMYPRETTYONES,"1962 Anne Sexton poetry collection whose title comes from 'Macbeth'"
ALLOFHERLAUNDRY,"Riddle, part 4"
ALLOUTOFOPTIONS,"Left with no choices"
ALLOVERTHEPLACE,"Seemingly everywhere"
ALLOVERTHEPLACE,"Varying wildly"
ALLOVERTHEWORLD,"1980 hit by ELO"
ALLPOINTSBULLET,"Ammo unit painted by Seurat, perhaps?"
ALLRIGHTALREADY,"""Enough!"""
ALLRIGHTALREADY,"""That's enough!"""
ALLSHEWANTSTODO,"""___ Is Dance"""
ALLSKINANDBONES,"Emaciated"
ALLSKINANDBONES,"Really thin"
ALLSTARDOWNCAST,"Headline about a depressed Pro Bowl player?"
ALLSTARFORECAST,"""Clear skies tonight,"" to an astronomer?"
ALLSUITSSLASHED,"Odd sign at Men's Wearhouse?"
ALLSYSTEMSAREGO,"""Proceed!"""
ALLSYSTEMSAREGO,"Launch words"
ALLTHATCOOLJAZZ,"Bob Fosse musical scored by Miles Davis?"
ALLTHATGLITTERS,"It may not be gold"
ALLTHATGLITTERS,"It's not necessarily gold"
ALLTHATSHEWANTS,"Ace of Base #2 song of 1993"
ALLTHATSHEWANTS,"Ace of Base hit"
ALLTHESTUFFFROM,"Middle of a timely definition"
ALLTHESTUFFFROM,"Timely definition (Part 2)"
ALLTOTHEMSELVES,"End of a Labor Day quip"
ALLTRADESOFJACK,"What Webb's resumé lists?"
ALLUVIALDEPOSIT,"River delta, e.g."
ALLWORKEDUPOVER,"Enthusiastic"
ALLWORKORNOPLAY,"Alternative lifestyle?"
ALMOSTDEISTGLOP,"Group of ""alphabetic"" words"
ALOHAFROMHAWAII,"1973 Elvis concert that was the first broadcast live via satellite"
ALONEINTHEWORLD,"Without anyone"
ALONGFORTHERIDE,"Not actively participating"
ALONGONEINSTEAD,"End of the quote"
ALONGWINTERSNAP,"What bears experience"
ALONGWINTERSNAP,"What sleepy bears take"
ALONGWINTERSNIP,"Extensive frostbite?"
ALOOPHOLEFORHIM,"End of the quip"
ALOTOFTHEFUNOUT,"Quip, part 3"
ALOTONONESPLATE,"Many things to juggle"
ALOTONONESPLATE,"Much that has to get done"
ALOTONONESPLATE,"Much to do"
ALOTONONESPLATE,"Much work to get done"
ALOTONONESPLATE,"One, two and three... or this puzzle's title"
ALOTONONESPLATE,"Tons of work to do"
ALOTONONESPLATE,"Tons of work, figuratively"
ALOTONONESPLATE,"Tons to do"
ALOTTOANSWERFOR,"Things in need of explaining, and this puzzle's title"
ALOTUSONTHEBALL,"Soccer feature in Buddhist lands?"
ALOVEBEFORETIME,"2000 Best Song nominee"
ALOVEBEFORETIME,"Oscar-nominated song from ""Crouching Tiger, Hidden Dragon"""
ALOVERSCONCERTO,"1965 hit by The Toys"
ALOVERSCONCERTO,"Hit by the Toys and Bach"
ALPHABETICORDER,"Puzzler's alert: the clues in this crossword are all in this"
ALPHABETIZATION,"Theme of this puzzle"
ALPHABETSTARTER,"A"
ALPHALAMBDAIOTA,"Three Greek Letters"
ALSACELORRAINER,"Neighbor of a Prussian"
ALTERNATEENDING,"Feature of many DVDs"
ALTERNATEENDING,"Movie DVD special feature, perhaps"
ALTERNATEROUTES,"Detours"
ALTERNATEROUTES,"Ways to avoid traffic jams"
ALTERNATIVEROCK,"Music genre"
ALTERNATIVEROCK,"Out-of-the-mainstream genre"
ALTERNATIVEWORD,"Or"
ALTERONESCOURSE,"Bear off, for example"
ALTERONESCOURSE,"Change direction"
ALTERONESCOURSE,"Come around"
ALTERONESCOURSE,"Zig or zag"
ALTHOUGHTIMEISA,"Beginning of a quip"
ALTREALITYGAMES,"Puppetmasters run them"
ALUMPINMYTHORAT,"End of the quip"
ALUNCHOFBOOZERS,"Six martinis and one big olive?"
ALVINSHARMONICA,"1959 #3 hit by David Seville"
ALWAYSAGOODGIFT,"Riddle: Part 2"
ALWAYSATHISBEST,"End of the quip"
ALWAYSBECLOSING,"Advice from ""Glengarry Glen Ross"""
ALWAYSBECLOSING,"Salesperson's motto"
ALWAYSBEREADYTO,"START OF A WILLIAM BLAKE QUOTE"
ALWAYSBNEGATIVE,"End of the quip"
ALWAYSDORIGHTIT,"Start of a Mark Twain quip"
ALWAYSGIVETHEIR,"Riddle: Part 2"
ALWAYSHASTOMIND,"Quip, part 2"
ALWAYSINTHEHOLE,"Where was the spendthrift golf pro?"
ALWAYSPROOFREAD,"Start of an ironic reminder"
ALWAYSSOMETHING,"""Well, Jane, it just goes to show you, it's ___!"" (Roseanne Roseannadanna line)"
AMADHOUSEINHERE,"End of the directive"
AMAJOROPERATION,"Riddle, part 4"
AMALEHEALTHYAND,"Quip, part 3"
AMANABOUTAHORSE,"-"
AMANAPLANACANAL,"Panama's leading sextet?"
AMANAPLANACANAL,"Passage leading to Panama?"
AMANCALLEDHORSE,"1970 Richard Harris film"
AMANCALLEDHORSE,"1970 film with much Sioux dialogue"
AMANCALLEDHORSE,"Film about an aristocrat captured by the Sioux"
AMANCALLEDHORSE,"Harris role"
AMANCALLEDHORSE,"Richard Harris film"
AMANCALLEDHORSE,"Richard Harris film of 1970"
AMANCALLEDHORSE,"Richard Harris movie of 1970"
AMANCALLEDHORST,"Film about some German guy?"
AMANLOVESAWOMAN,"Percy Sledge's ""When ___"""
AMANLOVESAWOMAN,"When..."
AMANOFMANYTARTS,"Half-baked epitaph?"
AMANSBESTFRIEND,"Fido, proverbially"
AMANTHATMAKESNO,"Start of a quip"
AMANWHOUSESMORE,"Start of definition of a scholar"
AMANWRAPPEDUPIN,"Start of a paraphrased quip from John Ruskin"
AMATEURCHAMPION,"Moneymaker or Varkonyi*"
AMATTEROFCOURSE,"It's customary"
AMATTEROFCOURSE,"Something customary"
AMATTEROFDEGREE,"Apt title for this puzzle"
AMATTEROFRECORD,"It's on public file"
AMBASSADORSHIPS,"Overseas appointments"
AMBASSADORSHIPS,"Presidential appointments"
AMBASSADORSHIPS,"Some presidential appointments"
AMBLEONTHEBEECH,"Arborist's exercise?"
AMBULANCECHASER,"Ethical concern for a bar association"
AMBULANCECHASER,"Lawyer on the move?"
AMBULANCECHASER,"Legal lowlife"
AMBULANCECHASER,"One waiting for an accident to happen"
AMBULANCECHASER,"Shady lawyer orchestrated unreachable scam (9,6)"
AMELTINGPOTBUTA,"Part 2 of the quotation"
AMEOWYCHRISTMAS,"Start of a catty comment?"
AMERICADGODSHED,"Patriotic song words"
AMERICANBEAGLES,"Snoopy and family?"
AMERICANBUFFALO,"1996 Dustin Hoffman movie"
AMERICANBUFFALO,"Award-winning play by David Mamet"
AMERICANBUFFALO,"Bison"
AMERICANBUFFALO,"David Mamet play"
AMERICANBUFFALO,"Old nickel depiction"
AMERICANBUFFALO,"Western herd member"
AMERICANCHOPPER,"TV show whose name categorizes each of the people in this puzzle's four theme clues"
AMERICANCITIZEN,"Yankee"
AMERICANDREAMER,"1984 JoBeth Williams comedy/adventure film"
AMERICANDREAMER,"JoBeth Williams film of '84"
AMERICANDREAMER,"Tom Conti movie of 1984"
AMERICANEMBASSY,"Foreign office?"
AMERICANEMBASSY,"Scene of many demonstrations"
AMERICANEMPRESS,"Napoleon's U.S. consort?"
AMERICANENGLISH,"Language that favors ""sedans"" to ""saloons"""
AMERICANEXPRESS,"Amtrak?"
AMERICANEXPRESS,"Chattanooga choo-choo?"
AMERICANEXPRESS,"Classic green card issuer"
AMERICANEXPRESS,"Diversified financials blue chip"
AMERICANEXPRESS,"VISA rival"
AMERICANEXPRESS,"Visa alternative"
AMERICANHISTORY,"""Jeopardy!"" category"
AMERICANHISTORY,"Domain of one of Washington's Smithsonian museums"
AMERICANHISTORY,"High school subject"
AMERICANINDIANS,"A man's detaining Eric and I with pair of Incan tribespeople (8,7)"
AMERICANINDIANS,"Crows and others"
AMERICANINDIANS,"Members of the First Nations"
AMERICANINDIANS,"Plains dwellers"
AMERICANINDIANS,"Some of the Cleveland nine?"
AMERICANINPARIS,"Best Picture of 1951, with 'An'"
AMERICANINPARIS,"Carnegie Hall debut of 1928, with ""An"""
AMERICANINPARIS,"George Gershwin's symphonic poem."
AMERICANINPARIS,"Gershwin debut of 1928, with ""An"""
AMERICANIZATION,"""The ___ of Emily,"" 1964 film"
AMERICANIZATION,"Opening of McDonald's restaurants abroad, e.g."
AMERICANIZATION,"Process of assimilating U.S. customs"
AMERICANLEAGUER,"Angel"
AMERICANLEAGUER,"Any Yankee"
AMERICANNDSTAND,"TV show on which Freddy ""Boom Boom"" Cannon holds the record for most appearances with 110"
AMERICANNOWPAYS,"Part 4 of quote"
AMERICANOUTBACK,"Kangaroo country, after continental drift?"
AMERICANSEAGULL,"UTAH"
AMERICANSPANISH,"Alternative to Castilian"
AMERICANSTUDIES,"Interdisciplinary college major"
AMERICANTABLOID,"James Ellroy novel that Time magazine named best fiction book of 1995"
AMERICANTONGUES,"P.O.V. inaugural season Peabody Prize winner"
AMERICANTRAGEDY,"Dreiser novel, with ""An"""
AMERICANTRAGEDY,"Dreiser novel, with""An"""
AMERICANTROTTER,"Standardbred"
AMERICANTROTTER,"Standardbred racer"
AMERICANTROTTER,"Sulky racer"
AMERICANWEDDING,"2003 teen comedy"
AMERICANWEDDING,"Jason Biggs comedy of 2003"
AMERICASFREEDOM,"What we celebrate on July 4"
AMERICASMOSTWAN,"The palest in the entire country?"
AMERICASMOSTWED,"Series about much-married citizens?"
AMERIGOVESPUCCI,"Continental eponym"
AMERIGOVESPUCCI,"Florence-born explorer"
AMERIGOVESPUCCI,"New World explorer"
AMERRYCHRISTMAS,"We wish you ___"
AMFMFREQUENCIES,"Bands"
AMIBOTHERINGYOU,"""Got a minute?"""
AMIGLADTOSEEYOU,"Relieved words"
AMIGLADTOSEEYOU,"Words of relief"
AMIHEREALLALONE,"Oh my God*"
AMILOSINGMYMIND,"""Something doesn't seem right..."""
AMISHGOINGCRAZY,"Barn-raising and butter-churning all out of whack?"
AMISSILEAMINUTE,"Slow darts player's pace?"
AMISTERINMUNICH,"HERR"
AMODESTPROPOSAL,"Jonathan Swift pamphlet about Ireland"
AMODESTPROPOSAL,"Swift set it forth"
AMONTHBYTHELAKE,"1995 Vanessa Redgrave film"
AMONTHBYTHELAKE,"1995 movie with Vanessa Redgrave"
AMONTHBYTHELAKE,"Redgrave film: 1995"
AMONTHOFSUNDAES,"About 30 desserts?"
AMONTHOFSUNDAES,"Ice cream spree?"
AMONTHOFSUNDAYS,"Ages"
AMONTHOFSUNDAYS,"Ages and ages"
AMONTHOFSUNDAYS,"Indefinitely long period"
AMONTHOFSUNDAYS,"John Updike novel"
AMONTHOFSUNDAYS,"Long time metaphor"
AMONTHOFSUNDAYS,"Quite some time"
AMONTHOFSUNDAYS,"Updike title"
AMOROUSOVERTURE,"PASS"
AMORVINCITOMNIA,"Saying about the heart"
AMOSALONZOSTAGG,"College football coach for 71 years"
AMOSALONZOSTAGG,"Grid coaching legend"
AMOSALONZOSTAGG,"Innovative Chicago football coach"
AMOSALONZOSTAGG,"Member of both the College Football and Basketball Halls of Fame"
AMOSALONZOSTAGG,"Pioneering football coach"
AMOSALONZOSTAGG,"Record-setting college football coach"
AMPASEXECSUNCLE,"Who the Oscar is nicknamed after"
AMSTERDAMAVENUE,"Comedian Morey's favorite New York hangout?"
AMUNDSENRAISINS,"Explorer's add-ins to Norwegian muesli?"
AMUSEASDIRECTED,"Emulate the court jester?"
AMUSEDFURNITURE,"Happy dining room set?"
AMUSTARDTOAVOID,"Cautionary song about condiments?"
AMYIRVINGBERLIN,"Actress married to a composer?"
ANABOLICSTEROID,"Body builder?"
ANABOLICSTEROID,"___ compounds are synthesized to mimic the effects of a) adrenaline; b) testosterone; c) serotonin; d) insulin"
ANACEINTHECROWD,"Good title for this puzzle?"
ANAGRAMCROSSING,"One of six in this puzzle"
ANAGRAMMEDWORDS,"SWORD (or a title for this puzzle)"
ANAGRAMOFORELSE,"Resole"
ANAGRAMTHETITLE,"How to arrive at answers to 22A, 41A, 60A, 69A, 88A, 15D/43D"
ANAISNINCOMPOOP,"Silly author?"
ANAKINSKYWALKER,"2002 sci-fi role for Hayden Christensen"
ANAKINSKYWALKER,"Boy in ""Star Wars: Episode One..."""
ANAKINSKYWALKER,"George Lucas' galactic swashbuckler"
ANAKINSKYWALKER,"His arm was severed in light saber duel before he became Darth Vader"
ANALOGCOMPUTERS,"Old plugboard plug-ins"
ANAMERICANTRAIL,"Cross-country path?"
ANANIMALTHATCAN,"Start of H.L. Mencken's definition of a politician"
ANAPEGOTTOOSORE,"The zoo's masseuse had to rub the back of one of the gorilla's necks whenever ___"
ANAPOSTROPHEISA,"Start of quip"
ANAPPLEPOLISHER,"What a flatterer may be"
ANAUTOBIOGRAPHY,"Franklin P. Jones quip: Part 1"
ANCESTORWORSHIP,"Admiration of past generations"
ANCHORAGEALASKA,"49th state's largest city"
ANCHORAGEALASKA,"City on Cook Inlet"
ANCHORAGEALASKA,"City on the Cook Inlet"
ANCHORAGEALASKA,"Earthquake Park setting"
ANCHORAGEALASKA,"Hanging Basket Capital of the World"
ANCHORAGEALASKA,"Safe-sounding moorage in the 49th state?"
ANCHORAGEALASKA,"The Last Frontier's largest municipality"
ANCHORSTHERELAY,"Finishes a four-man race"
ANCHORSTHERELAY,"Finishes a race"
ANCIENTEGYPTIAN,"Riddle, part 2"
ANCIENTELEMENTS,"Old foursome (and a hint to this puzzle)"
ANDACUPOFCOFFEE,"End of breakfast"
ANDALLDAYSUNDAY,"PART 3 OF BUMPER STICKER"
ANDALSORICESBUT,"More of a silly ad jingle"
ANDANOTHERTHING,"""Wait, I'm not done..."""
ANDANOTHERTHING,"Argument extender"
ANDANOTHERTHING,"Conversation continuer #3"
ANDANUNDERTAKER,"Love story continued"
ANDASCOOKSGOSHE,"More of the quip"
ANDASKEDHOWMUCH,"Question, part 3"
ANDBRAINCELLSGO,"More of the lament"
ANDCALLITABRIEF,"End of the definition"
ANDDEMANDTHEIRS,"Quip, part 3"
ANDDONEALOTMORE,"Observation, part 2"
ANDDONEALOTMORE,"So said Murphy, Part 2"
ANDEACHONEASTAR,"End of the slogan"
ANDEANAIDNIGHTS,"Long range charity dinners?"
ANDERSONMONTANA,"1981 & 1989 NBA MVPs"
ANDESPACKANIMAL,"Two-L llama"
ANDFISHAREALIKE,"More of a humorous comparison"
ANDGONETOHEAVEN,"End of the comment"
ANDHADITBRONZED,"Finish of the punch line"
ANDHAPPYNEWPURR,"End of catty comment?"
ANDIFITBREAKSIT,"Motto, part 2"
ANDILOVEHERRING,"Beatles' ode to kippers?"
ANDILOVEHERRING,"Theme song of sardine fans?"
ANDIRISHWHISKEY,"Part 3 of the quote"
ANDITCAMETOPASS,"""So things happened like this..."""
ANDITCAMETOPASS,"Start of a seasonal passage from Luke"
ANDITCAMETOPASS,"Subsequently, in the Book of Mormon"
ANDJUSTICEFORAL,"Film about Reverend Sharpton's trial?"
ANDJUSTICEFORAL,"More apt title for a 1979 Pacino film?"
ANDJUSTICEFORAL,"Movie short about Capone in court?"
ANDKIDTHEPEOPLE,"End of the quip"
ANDMAKEITSNAPPY,"""Now!"""
ANDMOUSEGAMESIF,"Part 2 of quip"
ANDNAUGHTYTYKES,"Quip, Part 3"
ANDNOATMOSPHERE,"End of the quip"
ANDONETOGROWWAN,"Words on a ghost's birthday?"
ANDREFUSETOTELL,"Quote, part 6"
ANDREWAGUECHEEK,"Toby Belch's ""Twelfth Night"" follower"
ANDREWANDRACHEL,"White House Jacksons"
ANDROMEDAGALAXY,"Locale of Krypton in the Superman saga"
ANDROMEDASTRAIN,"1971 sci-fi film, with ""The"""
ANDROMEDASTRAIN,"Dangerous agent added to Italian city lawyer's retinue (9,6)"
ANDROMEDASTRAIN,"Early Crichton bestseller, with ""The"""
ANDROMEDASTRAIN,"Michael Crichton best seller, with ""The"""
ANDROMEDASTRAIN,"Michael Crichton best-seller, with ""The"""
ANDSTOLETHESHOW,"End of the one-liner"
ANDTELLTHEFACTS,"End of quote"
ANDTHEBARTENDER,"Joke, part 3"
ANDTHEDEADALONE,"Quote, part 3"
ANDTHOSEWHOCANT,"End of quip"
ANDTHOSEWHODONT,"End of the observation"
ANDTIREDOFITALL,"End of the quip"
ANDTOSSEDTHEKEY,"Promise of confidentiality, part four"
ANDTRUSTNOAGENT,"""Let every eye negotiate for itself!___"" (Much Ado About Nothing, ii, 1, 185)"
ANDTURNINGLOOSE,"End of the lament"
ANDWORTHAREVERY,"Part two of observation"
ANDYOUCANJUSTBE,"Part 4 of insult"
ANEEDLEANDTREAD,"Pretty much all you need to blow out a tire?"
ANEEDLEANDTREAD,"Recipe for a flat tire?"
ANEMPLOYEEDOATA,"Middle of the poser"
ANENDLESSSUMMER,"Alluring fantasy to which this puzzle is dedicated"
ANENJOYABLEREED,"An oboe, perhaps?"
