AAAADDRESS,"Motorist's org. location"
AIRCLEANER,"It may come with a HEPA filter"
AIRCONDUCT,"Pilot behavior?"
AIRCREWMAN,"U.S.A.F member"
AIRCREWMEN,"Some Navy personnel"
AIRCURRENT,"DRAFT"
AIRCURRENT,"Gust of wind, e.g."
AIRDEFENSE,"Drone's mission"
AIREDAZZLE,"Splendor of Leeds's river?"
AIREPLANES,"Yorkshire woodworking tools?"
AIREXPRESS,"Plane-based shipping service"
AIRFILTERS,"Allergy assuagers, perhaps"
AIRFILTERS,"Auto supply inventory"
AIRFREIGHT,"Shipping service"
AIRFRESHER,"Spray with bouquet"
AIRISHUMAN,"After to, newscaster's rationalization"
AIRJORDANS,"Michael's shoes"
AIROFSOCKS,"Locker room atmosphere?"
AIRPASSAGE,"Circulation aid"
AIRPASSAGE,"Ventilation duct"
AIRPOCKETS,"Causes of in-flight ""bumps"""
AIRPOCKETS,"Spots to breathe in"
AIRPORTALS,"O'Hare entrances?"
AIRQUALITY,"*Asthmatic's concern"
AIRQUALITY,"Pollution rating"
AIRRAISING,"Lifting up of the atmosphere?"
AIRSERVICE,"Flights, e.g."
AIRSERVICE,"Planes provide it"
AIRSHUTTLE,"Washington-New York transport"
AIRTRAFFIC,"Some moving vehicles"
AIRTRAFFIC,"Tower concern"
AIRYCATTLE,"Cows on the open range?"
AISLESEATS,"Fliers' requests"
AISLESEATS,"Fliers' requests, at times"
AITCHBONES,"Cuts of beef"
AIXHUSBAND,"Former spouse?"
AKGOLDRUSH,"Why all roads led to Nome"
AKISSDYING,"1953 Ira Levin novel"
AKISSISTHE,"Start of a Henny Youngman quip"
AKRONAEROS,"AA farm team of the Cleveland Indians"
AKRONAEROS,"Minor league team that plays at Canal Park"
AKRONAEROS,"Ohio minor league team"
AKRONAEROS,"Ohio minor league team whose alumni include C. C. Sabathia and Manny Ramírez"
AKRONKORAN,"Ohio holy book"
ALABAMASTE,"Montgomery school"
ALACARTELS,"*Like OPEC and others?"
ALACHICANA,"According to a Mexican-American woman"
ALADDINSMP,"Cop who brings back the genie when he goes AWOL?"
ALAINDELON,"""Borsalino"" co-star"
ALAINDELON,"""Purple Noon"" star"
ALAINDELON,"""Zorro"" film star"
ALAMOGORDO,"City near the Trinity test site"
ALAMOGORDO,"Seat of Otero County, New Mexico"
ALAMOGORDO,"Site of a blast from the past"
ALAMOGORDO,"Site of the first nuclear explosion"
ALANAMECHE,"1954 Heisman winner"
ALANAMECHE,"First NFL Rookie of the Year in 1955"
ALANEMBREE,"Relief pitcher with the 2004 World Series-winning Red Sox"
ALANHALEJR,"""Gilligan's Island"" actor"
ALANHALEJR,"Player of the Skipper"
ALANLERNER,"JAY"
ALANSEEGER,"""I Have a Rendezvous with Death"" poet"
ALANTURING,"English mathematician and computer pioneer"
ALARMBELLS,"Loud warnings"
ALARMCLOCK,"Citified rooster?"
ALARMCLOCK,"Device with a snooze button"
ALARMCLOCK,"Dream interruption"
ALARMCLOCK,"Feature of some radios"
ALARMCLOCK,"Hotel radio feature"
ALARMCLOCK,"It gets you going on time"
ALARMCLOCK,"It may be set at bedtime"
ALARMCLOCK,"Mechanical rooster"
ALARMCLOCK,"Rooster alternative?"
ALARMCLOCK,"Sony Dream Machine, e.g."
ALARMCLOCK,"Wake-up call, of a sort"
ALARMCLOCK,"Waker-upper"
ALARMCLUCK,"Sort of a poor man's cock-a-doodle-doo?"
ALARMINGLY,"""Set the clock,"" said Pacino ___"
ALASKATIME,"Anchorage setting"
ALBANIAALB,"Balkan priestly vestment?"
ALBERTFALL,"Teapot Dome scandal figure"
ALBERTHALL,"Venue of the Promenade Concerts"
ALBINONONO,"Staying out in the sun for too long?"
ALBONDIGAS,"""I'm ___. Do you like meatballs?"""
ALBONDIGAS,"""I'm ___. Ya like meatballs?"""
ALCHEMISTS,"Philosophers' stone seekers"
ALCOASTERS,"Sleds from an aluminum giant?"
ALCOHOLBAN,"It can keep ballfields dry"
ALCOHOLISM,"Focus of the group started by Bill W."
ALDASSALAD,"Actor's first course?"
ALDERTREES,"Furniture wood sources"
ALEBONDING,"Pint-drinking buddies' experience?"
ALECGUINSS,"Best Actor of 1957"
ALECLEAMAS,"The Spy Who Came In From the Cold"
ALEGALKISS,"Start of a quotation"
ALEOFTEARS,"Brew to cry in?"
ALERTBOOKS,"Emergency manuals? (B R)"
ALERTREBEL,"Government resister standing ready"
ALESCLERKS,"Bartenders, at times?"
ALESHOOKUP,"Agitated bottle of British beer?"
ALESREPORT,"Suds summary?"
ALESSANDRO,"Composer Scarlatti"
ALESSANDRO,"Electricity pioneer Volta"
ALEWARNING,"""Last call!"" at the bar?"
ALEXANDERI,"Czar (1801-25)"
ALEXANDERI,"Grandson of Catherine the Great"
ALEXANDERI,"Russian czar who fought Napoleon"
ALEXANDERS,"Creamy cocktails"
ALEXANDERS,"Jason and Shaun"
ALEXANDRIA,"Egyptian seaport"
ALEXANDRIA,"Egyptian seaport and ancient center of learning founded in 332 B.C."
ALEXANDRIA,"Louisiana city burned in 1864"
ALEXANDRIA,"Nile delta city"
ALEXANDRIA,"Ptolemy I founded a library here"
ALEXANDRIA,"Site of a famed library"
ALEXANDRIA,"Washington suburb"
ALEXERBELL,"Inventor who laid it on the line"
ALEXKARRAS,"Footballer-turned-actor"
ALEXKARRAS,"Former all-pro lineman nicknamed ""Mad Duck""/Star of the TV series ""Webster"""
ALEXKARRAS,"Star of ""Webster"""
ALEXKEATON,"Young Republican of a 1980s sitcom"
ALEXOLMEDO,"1959 Wimbledon champ"
ALEXTREBEK,"""Jeopardy!"" host"
ALEXTREBEK,"Current host of 45A"
ALEXTREBEK,"Former CBC newsman with all the answers"
ALEXTREBEK,"Frequently questioned celeb"
ALEXTREBEK,"He's asked a lot of questions at work"
ALEXTREBEK,"His questions are answers"
ALEXTREBEK,"Host of the National Geographic Bee"
ALEXTREBEK,"Man with all the answers"
ALEXTREBEK,"Man with all the answers?"
ALEXTREBEK,"Second host of the '70s quiz show ""The $128,000 Question"""
ALFFEMALES,"Furry extraterrestrials from Venus?"
ALGAEEATER,"Helpful aquarium fish"
ALGERHISSY,"Accused Communist in a snit?"
ALGORITHMS,"Step-by-step procedures"
ALICEADAMS,"Tarkington novel"
ALICEADAMS,"Tarkington's small-town girl"
ALICEDENTE,"Cooked Wonderland-style?"
ALICEJOYCE,"Quiet lady of cinema"
ALICEMUNRO,"""Something I've Been Meaning to Tell You"" author"
ALICEMUNRO,"Canadian short-story author"
ALICEMUNRO,"Her stories are often set in Ontario"
ALICEMUNRO,"Winner of three Governor General's Literary Awards"
ALICIAKEYS,"""Fallin'"" singer"
ALICIAKEYS,"""Songs in A Minor"" singer"
ALICIAKEYS,"""The Element of Freedom"" singer"
ALICIAKEYS,"'Fallin"" singer*"
ALICIAKEYS,"2002 multi-Grammy winner"
ALICIAKEYS,"Best new artist of ""Fallin' """
ALIENATING,"Divisive"
ALIENATING,"Giving the cold shoulder"
ALIENATING,"Turning away"
ALIENATION,"Common punk rock theme"
ALIENATION,"Detached feeling"
ALIENATION,"Estrangement"
ALIENATION,"Hostility"
ALIENATION,"Withdrawal"
ALIENATORS,"Disaffecting people"
ALIENATORS,"They're unpleasant to be around"
ALIENCRAFT,"Sci-fi hoverer"
ALIENRACES,"""Star Trek"" peoples"
ALIENRACES,"Encounter groups?"
ALIENRACES,"Many were seen in the Mos Eisley Cantina"
ALIENRACES,"Vulcans and others"
ALIENTHREE,"Celestial E.T.?"
ALIFOREMAN,"Like the 1974 rope-a-dope fight"
ALIMACGRAW,"""Goodbye, Columbus"" star"
ALIMACGRAW,"""Love Story"" actress"
ALIMACGRAW,"""Love Story"" star"
ALIMACGRAW,"""The Getaway"" actress"
ALIMACGRAW,"""The Getaway"" actress born 4/1/38"
ALIMACGRAW,"Actress wife of Steve McQueen"
ALIMACGRAW,"Steve McQueen's ex-wife and co-star in ""The Getaway"""
ALIMENTARY,"Kind of food canal"
ALIMENTARY,"Nutritive"
ALINEDRESS,"1955 Dior debut"
ALINEDRESS,"Flared fashion"
ALINEDRESS,"Flared women's garment"
ALINEORTWO,"Drop it!"
ALISONROAD,"Gin Blossoms hit"
ALITTLEBIT,"Not much"
ALITTLEBIT,"Slightly"
ALITTLEBIT,"Some"
ALITTLEBIT,"Somewhat"
ALIVETODAY,"Part 2 of second quote"
ALKALINITY,"Basic condition"
ALLANADALE,"Legendary minstrel"
ALLANADALE,"Member of a legendary outlaw band"
ALLANADALE,"Minstrel in the ""Merry Men"""
ALLANADALE,"Outlaw band member"
ALLANADALE,"Singer in a legendary band"
ALLANBLOOM,"Author of ""The Closing of the American Mind"""
ALLAQUIVER,"Showing trepidation"
ALLARGANDO,"Slowly getting slower, on sheet music"
ALLASANDBS,"Good report card"
ALLATINGLE,"Goose-pimply"
ALLATINGLE,"Quite excited"
ALLAYRIGHT,"Be properly calming?"
ALLBESTFOR,"Our wish to you"
ALLBYMSELF,"1976 Eric Carmen hit"
ALLDAYLONG,"From dawn till dusk"
ALLDAYLONG,"From dawn to dusk"
ALLDAYLONG,"Start of an excerpt from an Edna St. Vincent Millay poem"
ALLDRESSED,"In one's Sunday finest"
ALLEGATION,"Claim"
ALLEGHENYS,"Early Pittsburgh team"
ALLEGIANCE,"Loyalty to the cause"
ALLEGORIST,"Anagram of LEGISLATOR"
ALLEGORIST,"John Bunyan, for one"
ALLEGRETTO,"Moderately quick tempo"
ALLEGRETTO,"Musical tempo"
ALLENDRURY,"""Advise and Consent"" novelist"
ALLERGENIC,"Causing a rash reaction?"
ALLERGENIC,"Causing one to react rashly?"
ALLERGENIC,"Like penicillin, to some"
ALLEYCATCH,"Arrest made on a side street?"
ALLEYCHATS,"Conversations in the bowling league?"
ALLEYCHEAT,"*Dishonest kegler?"
ALLEYDROOP,"Sagging area between buildings?"
ALLEYPROOF,"Measure of a bowler's spirits?"
ALLFIREDUP,"Highly motivated"
ALLFIREDUP,"Like angry Mr. Burns?"
ALLFORFREE,"Like pro bono work?"
ALLFORLOVE,"#1 collaboration by Sting, Rod Stewart, and Bryan Adams"
ALLFORLOVE,"1993 #1 hit for Rod, along with Bryan Adams and Sting"
ALLHALLOWS,"November 1"
ALLHEKNOWS,"Part 6 of the quote"
ALLIGATORS,"Everglades denizens"
ALLINFAVOR,"Words that begin a voice vote"
ALLINFREED,"Poker-playing disc jockey?"
ALLIRONING,"What you see on Laundry TV"
ALLITERATE,"""Everyone repeat!""?"
ALLITERATE,"Say ""nattering nabobs of negativism,"" say"
ALLITERATE,"Say tongue twisters, maybe"
ALLITERATE,"Sing ""Bye Bye Birdie,"" e.g."
ALLMENMAKE,"Start of a Red Skelton quip"
ALLMIXEDUP,"Duplex mail"
ALLNATURAL,"Green product boast"
ALLNBATEAM,"Annual hoops postseason award"
ALLNIGHTER,"*Certain study session"
ALLNIGHTER,"Dusk-to-dawn cramming session"
ALLNIGHTER,"It may be pulled"
ALLNIGHTER,"Monsters might be needed to pull one"
ALLOCATING,"Setting aside"
ALLOCATION,"""I'm ___, your new real estate agent."""
ALLOCATION,"""I'm ___, your real estate agent"""
ALLOCATION,"Arrangement of resources or funds"
ALLOCATION,"Asset ___ (division of assets into stocks, bonds, cash, etc.)"
ALLOCATION,"Divvying-up process"
ALLOCATION,"Share"
ALLOPHONES,"Linguistic forms"
ALLOSAURUS,"Carnivorous theropod"
ALLOSAURUS,"Its name means ""different lizard"""
ALLOSAURUS,"Jurassic genus whose name means, literally, ""different lizard"""
ALLOTROPES,"Elements with more than one molecular form"
ALLOVERALL,"The last end?"
ALLOWANCES,"Kids' ""earnings"""
ALLOWANCES,"Teenagers' earnings?"
ALLOWWATER,"Permit Perrier?"
ALLPURPOSE,"Type of flour"
ALLROUNDER,"Versatile sort"
ALLSHOOKUP,"2005 Broadway musical based on the songs of Elvis Presley"
ALLSHOOKUP,"A: You're looking a bit pale. T: I'm ___ (Elvis)"
ALLSHOOKUP,"Presley hit"
ALLSHOOKUP,"Song that first topped the charts on 4/13/1957... or how its singer's name appears in the answers to starred clues"
ALLTERRAIN,"ATV means ___ vehicle (3,7)"
ALLTERRAIN,"Kind of vehicle"
ALLTERRAIN,"Like some vehicles"
ALLTERRAIN,"Not limited to roads"
ALLTHATIAM,"Presley avowal song: 1966"
ALLTHEBEST,"Correspondence sign-off"
ALLTHERAGE,"Anger therapy is..."
ALLTHERAGE,"Hot"
ALLTHERAGE,"Hot or in"
ALLTHERAGE,"Hula Hoops, at one time"
ALLTHERAGE,"IN"
ALLTHERAGE,"In"
ALLTHERAGE,"In style and then some"
ALLTHERAGE,"Really hot"
ALLTHERAGE,"Wildly popular"
ALLTHETIME,"Without respite"
ALLTHEWAGE,"I.R.S.'s tax portion, seemingly?"
ALLTIMELOW,"Worst ever"
ALLTOOSOON,"Another arrangement"
ALLTOOTRUE,"""It's sad, but you're right"""
ALLUREMENT,"Power to attract"
ALLYMCBEAL,"Calista Flockhart role"
ALLYMCBEAL,"Emmy winner for 1999"
ALLYMCBEAL,"Hit for Flockheart"
ALLYMCBEAL,"Series for which Ritter was nominated for an Emmy"
ALLYMCBEAL,"TV comedy with Calista Flockhart"
ALLYOUNEED,"... according to the Beatles"
ALLYSHEEDY,"""Brat pack"" actress"
ALLYSHEEDY,"""The Breakfast Club"" actress"
ALLYSHEEDY,"Lisa Logan portrayer on ""Oz"""
ALMAMATERS,"Homecoming destinations"
ALMAPATERS,"Brown and Bryn Mawr, to some?"
ALMICHAELS,"Longtime play-by-play announcer of ""Monday Night Football"""
ALMICHAELS,"Monday night main man"
ALMICHAELS,"Sportscaster of note"
ALMOLINARO,"He played the owner of Arnold's on ""Happy Days"""
ALMOLINARO,"Regular on ""The Odd Couple"" and ""Happy Days"""
ALMONDJOEY,"Nutty young Aussie?"
ALMONDROCA,"Treat wrapped in gold foil"
ALMONDTREE,"Source of some sundae toppings"
ALMONDTREE,"Whence some nuts"
ALMOSTDONE,"""I'll be finished in a minute"""
ALMOSTDONE,"Just about finished"
ALMOSTFULL,"Having only a few empty seats, as a theater"
ALMOSTSURE,"99% positive?"
ALOEDAHLIA,"'Remember Satchmo singing ‘___'?'"
ALOEDAHLIA,"Satchmo's flower number?"
ALOHACARTE,"Menu phrase meaning ""you can add pineapple to any item""?"
ALOHASHIRT,"Colorful top"
ALOHASHIRT,"Garment from the 50th state"
ALOHASHIRT,"Hawaiian top"
ALOHASHIRT,"Loud top"
ALOHASHIRT,"Top of Hawaii"
ALOHASTATE,"Gathering Place locale"
ALOHASTATE,"Hawaii"
ALOHASTATE,"Hawaii's nickname"
ALOHASTATE,"Honeymoon destination nickname"
ALOHASTATE,"Honeymoon-spot nickname"
ALOHASTATE,"Nickname since 1959"
ALOHASTATE,"Words on a Hawaiian license plate"
ALOHATOWER,"Downtown Honolulu landmark"
ALOHATOWER,"Honolulu Harbor landmark"
ALOHATOWER,"Honolulu landmark"
ALONEAGAIN,"#1 Gilbert O'Sullivan hit"
ALONEAGAIN,"1972 O'Sullivan No. 1 hit"
ALONGSHORE,"Not in deep water, say"
ALONGSHORE,"Waterfront"
ALOSTCAMEL,"What has two humps and is found in Alaska?"
ALOTOFGAUL,"France, once?"
ALOTTALIKE,"What Trent and his clone are?"
ALPACAMODE,"Video game state where your character does a lot of spitting and grazing?"
ALPENSTOCK,"Broker's Swiss shares selection"
ALPENSTOCK,"Mountain climber's staff"
ALPESTRINE,"Growing on a mountain below the tree line"
ALPHAALPHA,"First letter for the head of Centauri?"
ALPHABETIC,"Certain letter arrangement"
ALPHABETIC,"Like some codes"
ALPHABETIC,"Like some lineups"
ALPHAFRAME,"Kind of house"
ALPHAMALES,"Leaders of packs"
ALPHAMALES,"Pack heads"
ALPHAMALES,"They need to dominate"
ALPHAOMEGA,"1998 album by electronica group Project Pitchfork"
ALPHAPOUND,"8 ounces in Greece?"
ALPHATESTS,"In-house debugging"
ALPHATESTS,"Some computer software checks"
ALPHAVILLE,"German band that did ""Forever Young"""
ALPHAWIVES,"Starter spouses?"
ALPINERACE,"Downhill competition"
ALPOBRAINS,"Dog-food company's creative team?"
ALTARPIECE,"Communion table screen"
ALTERALTAR,"Adjust the platform?"
ALTERATION,"Adjustment"
ALTERATION,"Change"
ALTERCATED,"Were at each other's throats"
ALTERLATER,"Tailor's note to himself?"
ALTERNAIVE,"That, to this"
ALTERNATED,"Took turns"
ALTERNATES,"Disappointed Olympic team members, maybe"
ALTERNATES,"Substitutes"
ALTERNATOR,"AC generator"
ALTERNATOR,"Automotive current generator"
ALTERNATOR,"Dodge Charger charger"
ALTERNATOR,"Electric generator"
ALTERNATOR,"Electricity generator under the hood"
ALTERNATOR,"Engine part"
ALTERSCOTT,"Changeable novelist?"
ALTIMETERS,"Cockpit dials"
ALTIMETERS,"Skydivers' devices"
ALTOGETHER,"Completely renovated great hotel (10)"
ALTOGETHER,"Nude"
ALTOISTALL,"Why the robe won't fit the chorister?"
ALTONBROWN,"""Feasting on Asphalt"" host"
ALTONBROWN,"He hosts ""Good Eats"""
ALTOVISION,"CHOIR LOFT SIGHT"
ALTRUISTIC,"Kind"
ALTRUISTIC,"Selfless"
ALUINUFOIL,"It's a wrap"
ALVAMYRDAL,"Politician who championed Scandinavian social welfare"
ALVINAILEY,"""Blues Suite"" choreographer"
ALVINAILEY,"""Blues Suite"" choreographer (see letters 5 through 8)"
ALVINAILEY,"""Revelations"" choreographer [Utah]"
ALVINAILEY,"American Dance Theater choreographer"
ALVINAILEY,"American Dance Theater founder"
ALVINAILEY,"Famed choreographer"
ALVINAILEY,"Founder of an internationally renowned modern-dance repertory company: 2 wds."
ALVINAILEY,"Modern-dance choreographer"
ALVINAILEY,"Subject of the 2004 book ""Dancing Revelations"""
ALVINCYORK,"World War I Medal of Honor winner"
ALVINDAVIS,"1984 AL ROOKIE OF THE YEAR (MARINERS)"
ALWAYSBEEN,"Part 3 of quip"
ALWAYSMINE,"*Song by Tejano singer Selena"
ALWAYSOBEY,"Start of Mark Twain quote"
AMAHLIENTS,"Christmas-lotion ingredients?"
AMALGAMATE,"Blend"
AMALGAMATE,"Merge into a single body"
AMALGAMATE,"Mix"
AMAMEMBERS,"Docs who've paid their dues"
AMANDAPAYS,"Max Headroom actress"
AMANINFULL,"Tom Wolfe's second novel"
AMANUENSES,"Dictation takers"
AMANUENSES,"Secretaries"
AMANUENSIS,"Helper who takes dictation"
AMASSAMASS,"Accumulate large quantities?"
AMASSCARDS,"Stockpile networking handouts?"
AMASSMEDIA,"Build a publishing empire?"
AMATEURISH,"Bush-league"
AMATEURISH,"Inept"
AMATEURISH,"Lacking expertise"
AMATEURISH,"Unprofessional"
AMATEURISH,"Unskilled"
AMATICELLO,"Pricey gift for Yo-Yo Ma"
AMATIVIOLA,"Italian musical treasure"
AMAZEAMAYS,"Wow Willie?"
AMAZINGACE,"Incredible hole-in-one?"
AMAZINMETS,"They captured New York in 1969"
AMBASSADOR,"Diplomatic official"
AMBASSADOR,"Emissary"
AMBASSADOR,"Envoy's superior"
AMBASSADOR,"Representative"
AMBASSADOR,"Shirley Temple Black, at one time"
AMBERALERT,"Means of recapturing one's youth?"
AMBERALERT,"Missing child bulletin"
AMBERAPPLE,"A Golden Delicious?"
AMBERBEADS,"Necklace for milady"
AMBIDEXTER,"Old-time double-dealer"
AMBIVALENT,"Of two minds"
AMBULATING,"Walking"
AMBULATORY,"Moving about"
AMBUSCADES,"Surprise attacks"
AMCGREMLIN,"Automobile of the '70s"
AMELIORANT,"Breeze on a hot day, e.g."
AMELIORATE,"Better"
AMELIORATE,"Ease"
AMELIORATE,"Get better"
AMELIORATE,"Improve"
AMELIORATE,"Make improvements to"
AMENATWORK,"Confirmation from the boss?"
AMENCOINER,"Person who invented a prayer-ending word?"
AMENCORNER,"""I agree completely, dog-eared bit of paper!"""
AMENCORNER,"Area for congregational rabblerousing"
AMENCORNER,"Area for religious zeal"
AMENCORNER,"Area next to the pulpit, in some churches"
AMENCORNER,"Challenging area at Augusta National, as it's facetiously called"
AMENCORNER,"Church section"
AMENCORNER,"Church section?"
AMENCORNER,"Eleven through thirteen at Augusta"
AMENCORNER,"Source of a minister's support, perhaps"
AMENCORNER,"Spot near the pulpit"
AMENCORNER,"Tough thing to master at the Masters"
AMENCORNER,"Worshipers' place"
AMENCORNER,"Worshippers' place, perhaps"
AMENDMENTI,"It begins ""Congress shall make no law respecting an establishment of religion"""
AMENDMENTI,"Its first word is ""Congress"""
AMENDMENTS,"Alterations to Congressional bills, for example"
AMENDMENTS,"They affect one's constitution"
AMENDTABLE,"Edit rows and columns of data?"
AMENSTANDS,"Pews, at times?"
AMENTOTHAT,"""Agreed!"""
AMENTOTHAT,"""I couldn't agree more"""
AMENTOTHAT,"""I hear ya!"""
AMENTOTHAT,"""Yes!"""
AMENTOTHAT,"""You said it!"""
AMENTOTHAT,"Response of approval"
AMERICAISA,"Start of a quote"
AMERICANAG,"Old Glory"
AMERICANID,"Reality show in which psychoanalysts compete?"
AMERICANME,"1992 Edward James Olmos film"
AMERICANME,"1992 Edward James Olmos gang film"
AMERICANME,"1992 film directed by and starring Edward James Olmos"
AMERICANME,"Edward James Olmos's directorial debut, 1992"
AMERICANOS,"Part of OAS, in Spanish"
AMERICANPE,"1971 album dedicated to Buddy Holly"
AMERICANPI,"Don McLean hit written for the 2004 Olympics?"
AMERICANPI,"Don McLean's aria for domestic geometry?"
AMERICORPS,"National service program that helps meet community needs"
AMERINDIAN,"Delaware or Missouri"
AMERINDIAN,"Navajo or Seminole, e.g."
AMESFLAMES,"Ed's Calgary team?"
AMFMSTEREO,"Auto feature"
AMFMSTEREO,"Car sound system"
AMFMSTEREO,"Sound option"
AMFMSTEREO,"Standard car feature"
AMFMTUNERS,"Receivers have them"
AMINERROLE,"""... but I got to stir it, so I can honestly say I played ___ in something!"""
AMINOACIDS,"Arginine and tryptophan"
AMINOACIDS,"Arginine and tryptophan, for two"
AMINOACIDS,"Lysine and tryptophan"
AMINOACIDS,"Lysine et al."
AMINOACIDS,"Protein building blocks"
AMINOACIDS,"Protein components"
AMINOGROUP,"Basic chemical component of proteins"
AMINSTREET,"Story of a tough town in Africa?"
AMIRIGHTOR,"Truth-assuming query, briefly"
AMIRVAHEDI,"Cigar-chomping WPT favorite*"
AMIRVAHEDI,"Reseda's champ and WPT favorite*"
AMISHBUGGY,"Sight in Lancaster County, Pa."
AMITOBLAME,"'Is this really my fault?'"
AMITOBLAME,"Question that may be answered ""No, you're not responsible"""
AMITYVILLE,"Setting for a 1979 horror film"
AMMUNITION,"An A of A&E"
AMMUNITION,"Beans, to a GI"
AMMUNITION,"It was carried in ""The Red Badge of Courage"""
AMNIOACIDS,"Caustic compounds produced during prenatal exams?"
AMOCOCADIZ,"Supertanker that caused France's worst oil spill (1978)"
AMORALEXAM,"Test at Anything Goes University?"
AMORTIZING,"Paying down"
AMOUNTEDTO,"Equaled"
AMOUNTPAID,"Invoice phrase"
AMPEREHOUR,"Unit of electric charge equivalent to 3,600 coulombs"
AMPERSANDS,"&&&"
AMPERSANDS,"7 figures"
AMPERSANDS,"They're often seen above 7's"
AMPHIBIANS,"BATRACHOPHOBIA"
AMPHIBIOUS,"""How's the water, ___?"""
AMPLEMAPLE,"Vermont tappers' asset?"
AMPLIFIERS,"Rock band equipment"
AMUSEAMUSE,"Make Erato laugh?"
AMUSEMENTS,"Distractions"
AMUSESIOWA,"Cracks jokes at the caucuses?"
AMUTEPOINT,"Made with a restrained trumpet?"
AMYMADIGAN,"""Pollock"" actress"
AMYPOEHLER,"She voiced Snow White in ""Shrek the Third"""
AMYTANKING,"Actress Brenneman losing on purpose?"
ANAGRAMMED,"Mad manager"
ANAISNINNY,"Dopey diarist?"
ANALGESICS,"Aspirin and ibuprofen"
ANALGESICS,"Hospital numbers?"
ANALYTICAL,"Left-brained"
ANAMORPHIC,"Kind of lens used by moviemakers"
ANAPOLIDAY,"How to keep the dottore away?"
ANARCHISTS,"Some Russian Revolution figures"
ANARMCLOCK,"Wristwatch?"
ANATOMICAL,"Bodily"
ANATOMICAL,"Concerning structure"
ANATOMICAL,"Involving the body"
ANATOMICAL,"Of the body"
ANATOMICAL,"Pertaining to makeup"
ANATOMICAL,"Structural"
