AAAMILNE,"Children's author and roadside helper?"
ACRIMONY,"Bitter feeling"
ACRIMONY,"Bitterness"
ACRIMONY,"Ill will"
ACRIMONY,"Unfriendliness"
ACROBATS,"Circus performers"
ACROBATS,"Circus stars"
ACROBATS,"Cirque du Soleil performers"
ACROBATS,"Ones seeking steady work?"
ACROBATS,"Skilled tumblers"
ACROBATS,"Some circus stars"
ACROBATS,"They take a tumble"
ACROBATS,"Tumblers"
ACRONYMS,"Mnemonic devices"
ACRONYMS,"MoMA and Epcot, e.g."
ACRONYMS,"NOW and NATO, e.g."
ACRONYMS,"OPEC, NATO, etc."
ACRONYMS,"Words formed from initial letters"
ACROPPER,"Come ___ (fail utterly)"
ACROSSES,"1 to 57 herein"
ACROSSES,"Around half of this puzzle's clues and answers"
ACROSSES,"Downs follow them"
ACROSSES,"Half of this puzzle's clues"
ACROSSES,"This answer and others"
ACROSTIC,"Beginnings of poetry?"
ACROSTIC,"Certain word puzzle"
ACROSTIC,"Clever verse"
ACROSTIC,"Crossword cousin"
ACROSTIC,"Diversion involving a quotation"
ACROSTIC,"Feature of Psalm 119"
ACROSTIC,"First-letters hidden message"
ACROSTIC,"Initial puzzle?"
ACROSTIC,"It often involves a quote"
ACROSTIC,"Leaders in poetry, perhaps"
ACROSTIC,"Popular puzzle type"
ACROSTIC,"Psalm 119, e.g."
ACROSTIC,"Puzzle book entry"
ACROSTIC,"Puzzle in which the initial letters of each line form a word or phrase"
ACROSTIC,"Puzzle involving a quote"
ACROSTIC,"Puzzle that involves a quote"
ACROSTIC,"Puzzle that involves a quoted passage"
ACROSTIC,"Puzzle type"
ACROSTIC,"Puzzle with a quote"
ACROSTIC,"Puzzling choice"
ACROSTIC,"Quotation puzzle"
ACROSTIC,"Strange Socratic puzzle (8)"
ACROSTIC,"Type of word puzzle"
ACROSTIC,"Verse with a hidden message"
ACROSTIC,"Verse with a message?"
ACROSTIC,"Word game"
ACROSTIC,"Word puzzle"
ACROSTIC,"Word puzzle enjoyed by Queen Victoria"
ACRYLICS,"Alternative to oils"
ACRYLICS,"Manicurist's add-ons"
ACRYLICS,"Some synthetic fibers"
ACTALONE,"Commit an unabetted crime"
ACTALONE,"Do without accomplices"
ACTALONE,"Eschew assistance"
ACTALONE,"Have no accomplices"
ACTALONE,"Have no help"
ACTALONE,"Lack accomplices"
ACTALONE,"Not have an accomplice"
ACTALONE,"Work without an accomplice"
ACTASONE,"Be in concert"
ACTASONE,"Display unity"
ACTASONE,"Perform in concert"
ACTASONE,"Unify"
ACTASONE,"Work together"
ACTEDOUT,"Demonstrated"
ACTEDOUT,"Demonstrated via charades"
ACTEDOUT,"Dramatized"
ACTEDOUT,"Emulated the thespian"
ACTEDOUT,"Misbehaved"
ACTEDOUT,"Pantomimed"
ACTEDOUT,"Pantomined"
ACTEDOUT,"Played charades"
ACTEDOUT,"Vented repressed feelings"
ACTHAPPY,"Try not to look down"
ACTINGIN,"Playing a part from"
ACTINGON,"Following, as a hunch"
ACTINGUP,"Malfunctioning"
ACTINGUP,"Misbehaving"
ACTINIDE,"Periodic table's ___ series"
ACTINIUM,"Element #89"
ACTINIUM,"Element found in uranium ore"
ACTINIUM,"Radioactive element that glows blue in the dark"
ACTIONER,"Any ""Star Wars"" episode"
ACTIONER,"Typical Chuck Norris film"
ACTITOUT,"Do a charade"
ACTIVATE,"Call up, as reservists"
ACTIVATE,"Energize"
ACTIVATE,"Make usable"
ACTIVATE,"Set in motion"
ACTIVATE,"Start to vacate it"
ACTIVELY,"In an energetic way"
ACTIVELY,"Not passively"
ACTIVELY,"With enthusiasm"
ACTIVELY,"With real effort"
ACTIVISM,"Demonstrator's doctrine"
ACTIVISM,"Nader's thing"
ACTIVISM,"Nader's way"
ACTIVISM,"Trying to change society"
ACTIVISM,"What demonstrators demonstrate"
ACTIVIST,"One with a cause"
ACTIVIST,"SANE or MADD member, probably"
ACTIVIST,"Vigorous cause advocate"
ACTIVITY,"Doing"
ACTIVITY,"Part of a schoolteacher's lesson plan"
ACTIVITY,"Pastime"
ACTIVITY,"Show and tell, for one"
ACTOFGOD,"An insurance policy may not cover it"
ACTOFGOD,"Basis of a good fact."
ACTOFGOD,"Disaster often not covered by insurance"
ACTOFGOD,"Hurricane or tornado"
ACTOFGOD,"It's usually not covered"
ACTOFGOD,"Natural disaster"
ACTOFGOD,"Tornado or earthquake"
ACTOFGOD,"Unforeseeable event"
ACTOFWAR,"Belligerence"
ACTOFWAR,"Bombing, e.g."
ACTOFWAR,"Pearl Harbor attack, e.g."
ACTSASIF,"Pretends"
ACTSLIKE,"Behaves in the manner of"
ACTSLIKE,"Emulates"
ACTSLIKE,"Imitates"
ACTSSORE,"Shows peevishness"
ACTSUPON,"Catalyzes"
ACTSUPON,"Has influence over"
ACTTHREE,"Middle section of ""Hamlet"""
ACTTHREE,"Play conclusion, often"
ACTTHREE,"When ""To be or not to be"" is recited"
ACTTHREE,"When 'To be, or not to be' is spoken"
ACTUALLY,"""As it happens..."""
ACTUALLY,"""Strange as it may seem..."""
ACTUALLY,"As a point of fact"
ACTUALLY,"In fact"
ACTUALLY,"In reality"
ACTUALLY,"Word that often precedes unexpected bad news"
ACTUATED,"Got going"
ACTUATED,"Put into motion"
ACTUATES,"Puts into motion"
ACTUATOR,"Disk drive mechanism"
ACTUATOR,"He initiates"
ACTUATOR,"Mechanical controller"
ACURASLX,"'90s mid-size SUV"
ADAGENCY,"Clio winner"
ADAGENCY,"Employer for creative types"
ADAGENCY,"Place for pitchers?"
ADAGENCY,"Producer of commercials"
ADAGENCY,"Promo placer"
ADAMAEVE,"Early outcasts"
ADAMAEVE,"First two"
ADAMANCY,"Stubbornness"
ADAMANTS,"Hard gemstones"
ADAMANTS,"Hard stones"
ADAMANTS,"Unbreakable stones of legend"
ADAMBAUM,"Explosive guy?"
ADAMBAUM,"Guy who blows up all the time?"
ADAMBEDE,"Eliot novel"
ADAMBEDE,"Eliot opus"
ADAMBEDE,"Eliot title character"
ADAMBEDE,"George Eliot novel"
ADAMBEDE,"George Eliot's first novel"
ADAMBEDE,"It's the tale of a carpenter's misplaced love for a farm girl, by George!"
ADAMITES,"Human beings"
ADAMITES,"Nudists"
ADAMSALE,"Abstainer's order"
ADAMSALE,"Eden intoxicant?"
ADAMSALE,"Teetotaler's order"
ADAMSALE,"Water"
ADAMSALE,"Water as an intoxicant?"
ADAMSALE,"Water, alliteratively"
ADAMSALE,"Water, colloquially"
ADAMSALE,"Water, facetiously"
ADAMSALE,"Water, humorously"
ADAMSALE,"Water, in other words"
ADAMSALE,"Water, jocularly"
ADAMSALE,"Water, wittily"
ADAMSRIB,"1949 Hepburn/Tracy comedy"
ADAMSRIB,"1949 Tracy-Hepburn movie"
ADAMSRIB,"1949 Tracy/ Hepburn film"
ADAMSRIB,"1949 Tracy/Hepburn classic"
ADAMSRIB,"1949 Tracy/Hepburn film"
ADAMSRIB,"1949 battle-of-the-sexes film"
ADAMSRIB,"1949 comedy about husband-and-wife lawyers on opposing sides of a murder case"
ADAMSRIB,"1949 film directed by George Cukor"
ADAMSRIB,"1949 film in which Mr. and Mrs. Bonner are opposing counsel"
ADAMSRIB,"Eve, before ""birth"""
ADAMSRIB,"Eve, before 'birth'"
ADAMSRIB,"Eve, biblically"
ADAMSRIB,"Eve, once"
ADAMSRIB,"Hepburn and Tracy classic"
ADAMSRIB,"Hepburn/Tracy comedy"
ADAMSRIB,"Romantic comedy of 1949"
ADAMSRIB,"Tracy/Hepburn classic"
ADAMSRIB,"Tracy/Hepburn comedy"
ADAMSRIB,"Tracy/Hepburn film"
ADAMSRIB,"Tracy/Hepburn romantic comedy"
ADAMSRIB,"Whence Eve"
ADAMSRIP,"Film about an embarrassing fig leaf situation?"
ADAMSRIP,"Flawed fig leaf?"
ADAMSRUB,"The first massage?"
ADAMWEST,"""Family Guy"" mayor, or the actor providing his voice"
ADAMWEST,"'60s Batman portrayer"
ADAMWEST,"Actor voicing the mayor on ""Family Guy"""
ADAMWEST,"Batman portrayer"
ADAMWEST,"Dotty was mated to actor (4,4)"
ADAMWEST,"He's Batman"
ADAMWEST,"Mayor on ""Family Guy"" (and the actor who voices him)"
ADAMWEST,"TV Batman"
ADAMWEST,"TV's Batman"
ADAMWEST,"TV's Bruce Wayne"
ADAPTERS,"AC/DC gadgets"
ADAPTERS,"Arrangers"
ADAPTERS,"Connectors, of a sort"
ADAPTERS,"Electrical fittings"
ADAPTERS,"Gizmos for connections"
ADAPTERS,"PC accessories"
ADAPTERS,"Some electrical devices"
ADAPTING,"Conforming"
ADAPTING,"Nonconformist's problem"
ADAPTION,"Adjustment to cultural surroundings"
ADAPTIVE,"Able to conform"
ADAPTIVE,"Capable of change"
ADAPTIVE,"Capable of changing"
ADAPTIVE,"Like a chameleon's coloring"
ADAPTIVE,"Open to change"
ADAPTORS,"Compatibility devices"
ADAPTORS,"Electrical accessories"
ADAPTORS,"Electrical gizmos"
ADAPTORS,"Machine tool accessories"
ADAPTORS,"Plug attachments"
ADAPTORS,"Power cord gizmos"
ADAPTSTO,"Acclimates"
ADAPTSTO,"Becomes comfortable with"
ADAPTSTO,"Conforms"
ADAPTSTO,"Gets comfortable with"
ADAPTSTO,"Meets, as changing conditions"
ADAPTSTO,"Modifies so it fits"
ADAPTSTO,"Shows flexibility about"
ADAYLATE,"One of the themes …"
ADDEDTAX,"A grand total may include it"
ADDEDTAX,"Completed the bill"
ADDENDUM,"Book appendix"
ADDENDUM,"Postscript, e.g."
ADDENDUM,"Supplement"
ADDENDUM,"Supplement to a book"
ADDENDUM,"Supplement."
ADDENDUM,"Tack-on"
ADDERLEY,"Musician known as ""Cannonball"""
ADDICTED,"Compulsively dependent"
ADDICTED,"Hooked"
ADDICTED,"Like alcoholics"
ADDICTED,"Unable to kick the habit"
ADDINGON,"Building a new room, say"
ADDINGTO,"Subjoining"
ADDINGUP,"Making sense"
ADDINGUP,"Putting two and two together?"
ADDISONS,"Eng. essayist and others"
ADDITION,"Blessed event"
ADDITION,"Building wing"
ADDITION,"Computing sums"
ADDITION,"Ell, maybe"
ADDITION,"Home project"
ADDITIVE,"Altering agent"
ADDITIVE,"BHT or MSG, e.g."
ADDITIVE,"Extra ingredient"
ADDITIVE,"Extra something"
ADDITIVE,"Guar gum, e.g."
ADDITIVE,"Prepackaged food stuff"
ADDITIVE,"STP, e.g."
ADDSONTO,"Builds a porch for, e.g."
ADDSONTO,"Builds a wing for, as a building"
ADDSONTO,"Builds up"
ADDSONTO,"Enlarges, in a way"
ADDSONTO,"Expands"
ADDSUPTO,"Aggregates"
ADDSUPTO,"Means in all"
ADDSUPTO,"Signifies"
ADDSUPTO,"Totals"
ADDWATER,"Kool-Aid instruction"
ADDWATER,"Make thin, say"
ADDWATER,"Simple instruction on a soup can"
ADELAIDE,"""Guy and Dolls"" doll"
ADELAIDE,"""Guys and Dolls"" doll"
ADELAIDE,"""Guys and Dolls"" gal"
ADELAIDE,"""Guys and Dolls"" heroine"
ADELAIDE,"""Guys and Dolls"" lady"
ADELAIDE,"""Guys and Dolls"" lamenter"
ADELAIDE,"'Guys and Dolls' doll"
ADELAIDE,"Big city in Australia"
ADELAIDE,"Capital near Encounter Bay"
ADELAIDE,"Capital of South Australia"
ADELAIDE,"Capital on Gulf St. Vincent"
ADELAIDE,"City NE of Kangaroo Island"
ADELAIDE,"City of 1.1 million named for the wife of King William IV"
ADELAIDE,"Down Under capital"
ADELAIDE,"Down under city"
ADELAIDE,"Miss in ""Guys and Dolls"""
ADELAIDE,"Nathan Detroit's doll"
ADELAIDE,"South Australia port"
ADELAIDE,"South Australia's capital"
ADELAIDE,"South Australian capital"
ADELAIDE,"State capital of South Australia"
ADELAIDE,"The City of Churches"
ADELBERT,"Miracle-making bishop of Neustria"
ADENAUER,"Brandt predecessor"
ADENAUER,"Chancellor called 'Der Alte'"
ADENAUER,"Chancellor from Cologne"
ADENAUER,"Der Alte"
ADENAUER,"Erhard succeeded him in 1963"
ADENAUER,"First West German chancellor"
ADENAUER,"First chancellor of West Germany"
ADENAUER,"Former Chancellor Konrad"
ADENAUER,"Former German leader"
ADENAUER,"Noted Christian Democrat"
ADENAUER,"West German Chancellor, 1949-63"
ADENAUER,"West German chancellor (1949–1967)"
ADENAUER,"West German chancellor, 1949-'63"
ADENAUER,"West Germany's first chancellor"
ADENOIDS,"Pharyngeal tissue"
ADENOIDS,"Pharyngeal tonsils"
ADENOIDS,"Pharynx tissues"
ADENOIDS,"These are behind your nose"
ADENOIDS,"They are often removed in childhood"
ADENOIDS,"They often go out with tonsils"
ADENOIDS,"Tonsil toppers"
ADEQUACY,"Minimum ability"
ADEQUACY,"Suitability"
ADEQUATE,"As much as needed"
ADEQUATE,"Enough"
ADEQUATE,"Good enough"
ADEQUATE,"Not bad"
ADEQUATE,"Nothing to write home about"
ADEQUATE,"Passable"
ADEQUATE,"Passing"
ADEQUATE,"Quite enough"
ADHERENT,"Believer"
ADHERENT,"Cause supporter"
ADHERENT,"Devotee"
ADHERENT,"Disciple"
ADHERENT,"Flock member"
ADHERENT,"Follower"
ADHERENT,"Stalwart supporter"
ADHERENT,"Sticking fast"
ADHERENT,"Supporter"
ADHERENT,"Supporter of a cause"
ADHERERS,"Clingy ones"
ADHERERS,"Ones that stick"
ADHERERS,"Rule followers"
ADHERERS,"They cling"
ADHERETO,"Abide by"
ADHERETO,"Be involved with, as a cause"
ADHERETO,"Bond with"
ADHERETO,"Comply with"
ADHERETO,"Comply with, as policy"
ADHERETO,"Follow"
ADHERETO,"Follow closely"
ADHERETO,"Follow devotedly"
ADHERETO,"Follow, as a principle"
ADHERETO,"Stick on"
ADHERETO,"Stick with"
ADHERETO,"Support loyally"
ADHERETO,"Uphold"
ADHERING,"Following, with ""to"""
ADHESION,"Attachment"
ADHESION,"Bond"
ADHESION,"Bonding"
ADHESION,"Stick-to-it-iveness?"
ADHESION,"Stick-to-itiveness"
ADHESIVE,"Clinging"
ADHESIVE,"Glue"
ADHESIVE,"It may result in a sticky situation"
ADHESIVE,"Like a Post-It"
ADHESIVE,"Like glue"
ADHESIVE,"Post-it component"
ADHESIVE,"Sticking"
ADHESIVE,"Stickum"
ADHESIVE,"Sticky"
ADHESIVE,"Stuff on a stamp"
ADHESIVE,"Stuff on tape"
ADHESIVE,"Tacky"
ADIEUADO,"Parting scene?"
ADIPOSIS,"Corpulence"
ADIRABLE,"Praiseworthy"
ADJACENT,"Abutting"
ADJACENT,"Facing"
ADJACENT,"Nearest in space or position"
ADJACENT,"Next (to)"
ADJACENT,"Next-door"
ADJOINED,"Grouped together"
ADJOINED,"Shared a boundary with"
ADJOINED,"Touched on"
ADJOINED,"Was next to"
ADJOURNS,"Quits working"
ADJOURNS,"Stops"
ADJOURNS,"Stops for now"
ADJUDGED,"Declared"
ADJUDGES,"Decrees"
ADJUDGES,"Deems"
ADJUDGES,"Deems in court"
ADJUDGES,"Determines"
ADJUDGES,"Makes a ruling"
ADJUDGES,"Pronounces formally"
ADJUSTED,"Tweaked"
ADJUSTER,"Claims manager"
ADJUSTER,"Insurance agency employee"
ADJUSTTO,"Make allowances for"
ADJUSTTO,"Make changes for"
ADJUSTTO,"No longer feel strange about"
ADJUTANT,"Military aide"
ADLERIAN,"Psychoanalytic school"
ADLIBBED,"Did improv"
ADLIBBED,"Had no script"
ADLIBBED,"Ignored the script"
ADLIBBER,"Expert at improvisation"
ADLIBBER,"Funny makeup artist?"
ADLIBBER,"Groucho Marx, notably"
ADLIBBER,"Inventor of the stage?"
ADLIBBER,"Makeup artist?"
ADLIBBER,"Off-the-cuff speaker"
ADLIBBER,"Seat-of-the-pants talker"
ADMIRALS,"Commanders of fleets"
ADMIRALS,"Fleet elite"
ADMIRALS,"Fleet fellows"
ADMIRALS,"Fleet leaders"
ADMIRALS,"Fleet runners?"
ADMIRALS,"Halsey and Nimitz"
ADMIRALS,"Navy bigwigs"
ADMIRALS,"Navy bosses"
ADMIRALS,"Navy brass"
ADMIRALS,"Sea brass"
ADMIRALS,"Some brass"
ADMIRALS,"Some old TV's"
ADMIRALS,"Starfleet leaders"
ADMIRERS,"They really like you"
ADMIRING,"Fan's activity"
ADMIRING,"Looking up to"
ADMITONE,"Movie ticket mandate"
ADMITONE,"Pass words"
ADMITONE,"Phrase on a theater ticket"
ADMITONE,"Ticket line?"
ADMITONE,"Ticket order"
ADMITONE,"Ticket order?"
ADMITONE,"Ticket words"
ADMITONE,"Words on a ticket"
ADMITTED,"""I think there's more to this than you care to ___, ___"""
ADMITTED,"Allowed to enter"
ADMITTED,"Came clean"
ADMITTED,"Granted entry to"
ADMITTED,"Let in or let on"
ADMITTIN,"Hospital department"
ADMONISH,"Call on the carpet"
ADMONISH,"Caution"
ADMONISH,"Give a talking to"
ADMONISH,"Give a talking-to to"
ADMONISH,"Indicate obligations to"
ADMONISH,"Scold"
ADMONISH,"Scold a good-looking woman around Monday (8)"
ADMONISH,"Take to task"
ADOANNIE,"""Oklahoma!"" character"
ADOANNIE,"""Oklahoma!"" flirt"
ADOANNIE,"""Oklahoma!"" gal"
ADOANNIE,"""Oklahoma!"" girl"
ADOANNIE,"""Oklahoma!"" girl who just cain't say no"
ADOANNIE,"1955 Gloria Grahame musical role"
ADOANNIE,"Character who sings ""I Cain't Say No"""
ADOANNIE,"She ""cain't say no"""
ADOLESCE,"Approach maturity"
ADOLESCE,"Grow up"
ADONISES,"Calendar collection, perhaps"
ADONISES,"Extremely handsome young men"
ADONISES,"Handsome lads"
ADONISES,"Handsome young men"
ADONISES,"Hunks"
ADONISES,"Male models, often"
ADONISES,"Very handsome young men"
ADOPTEES,"Emigrants from orphanages"
ADOPTEES,"Orphans, often"
ADOPTERS,"Many humane society visitors"
ADOPTERS,"Some new parents"
ADOPTERS,"Some parents"
ADOPTING,"Taking up and practicing as one's own"
ADOPTION,"Alternative to pregnancy"
ADOPTION,"Enactment, as of a law"
ADOPTION,"Family court issue"
ADOPTION,"Family enlarger"
ADOPTION,"Family-enlarging act"
ADOPTION,"Parental choice"
ADOPTION,"Pet subject"
ADOPTION,"Ratification"
ADOPTION,"Rosie's pet cause"
ADOPTIVE,"Certain parents"
ADOPTIVE,"Kind of mother or father"
ADOPTIVE,"Kind of parent"
ADOPTIVE,"Like some parents"
ADORABLE,"""Aw-ww!""-evoking"
ADORABLE,"Adjective for a cherub"
ADORABLE,"Charming"
ADORABLE,"Cute"
ADORABLE,"Cute as a button"
ADORABLE,"Cuter than cute"
ADORABLE,"Darling"
ADORABLE,"Dreamy"
ADORABLE,"Eliciting an ""aww,"" maybe"
ADORABLE,"Just too cute"
ADORABLE,"Lovable in a naive way"
ADORABLE,"Lovely"
ADORABLE,"Precious"
ADORABLE,"Really cute"
ADORABLE,"So cute it hurts"
ADORABLE,"So pretty"
ADORABLE,"Super-cute"
ADORABLE,"Very charming"
ADORNING,"Decking out"
ADORNING,"Decorating"
ADORNING,"Festooning"
ADORNING,"Gracing"
ADORNING,"Gussying up"
ADORNING,"Ornamenting"
ADORNING,"Tree trimmer's activity"
ADORNING,"Trimming"
ADORNING,"Xmas tree activity"
ADRENALS,"Epinephrine-producing glands"
ADRENALS,"Glands above the kidneys"
ADRENALS,"Pair above the kidneys"
ADRENALS,"They're located above the kidneys"
ADRIANIV,"Only Englishman to become pope"
ADRIANIV,"Only Englishman to become pope (1154)"
ADRIATIC,"Arm of the Mediterranean"
ADRIATIC,"Bari's sea"
ADRIATIC,"Croatia's sea"
ADRIATIC,"Montenegro's locale"
ADRIATIC,"Rimini's sea"
ADRIATIC,"Sea between Italy and Albania"
ADRIATIC,"Setting for the shipwreck in ""Twelfth Night"""
ADRIATIC,"Split end?"
ADRIATIC,"The Strait of Otranto connects to it"
ADRIENNE,"Actress Barbeau"
ADRIENNE,"Barbeau of ""Maude"""
ADRIENNE,"Barbeau of ""The Fog"""
ADRIENNE,"Barbeau of 'Maude'"
ADRIENNE,"Barbeau or Rich"
ADRIENNE,"Barbeau who was the original Rizzo in ""Grease"""
ADRIENNE,"Ms. Barbeau"
ADRIENNE,"National Book Award-winning poet ___ Rich"
ADRIENNE,"Poet Rich"
ADRIENNE,"Poet Rich who wrote ""Diving Into the Wreck"""
ADRIENNE,"___ Shelly, writer/director/co-star of ""Waitress,"" 2007"
ADROITER,"More crafty"
ADROITER,"More skillful"
ADROITLY,"How Clapton plays guitar"
ADROITLY,"In a deft manner"
ADROITLY,"With skill"
ADROITLY,"À la an expert"
ADSBYYES,"Promos in support of ""Fragile"", ""Relayer"" and/or ""Tormato"""
ADSLOGAN,"""Beanz meanz Heinz,"" e.g."
ADSLOGAN,"""Fly the friendly skies...,"" for example"
ADSLOGAN,"""Just do it"" is one"
ADSLOGAN,"""Just do it,"" for one"
ADSLOGAN,"Brief pitch"
ADSLOGAN,"Madison Ave. creation"
ADSLOGAN,"Madison Avenue creation"
ADSLOGAN,"Pithy pitch"
ADSORBED,"Held, as a dissolved substance"
ADULATED,"Admired slavishly"
ADULATED,"Flattered excessively"
ADULATED,"Overdid the flattery"
ADULATES,"Fawns on"
ADULATES,"Fawns over"
ADULATES,"Flatters"
ADULATES,"Hero-worships"
ADULATES,"Is a huge fan of"
ADULATES,"Worships"
ADULATOR,"Big fan"
ADULATOR,"Fan"
ADULATOR,"Idolizer"
ADULATOR,"One who overdoes the praise"
ADULATOR,"Worshiper"
ADULTDVD,"Racy movie rental"
ADULTERY,"""Madame Bovary"" subject"
ADULTERY,"""The Great Gatsby"" subject"
ADULTERY,"""The Scarlet Letter"" subject"
ADULTERY,"""The Scarlet Letter"" topic"
ADULTERY,"Certain sin"
ADULTERY,"Commandments taboo"
ADULTERY,"Focus of ""The Scarlet Letter"""
ADULTERY,"Frequent subject on ""Desperate Housewives"""
ADULTERY,"Hester Prynne's sin"
ADULTERY,"Subject of the Seventh Commandment"
ADULTERY,"Ten Commandments taboo"
ADVANCED,"Like Calculus II"
ADVANCED,"Made headway"
ADVANCED,"Went forward in cave, and lost glimpse of daylight (8)"
ADVANCES,"Goes forward"
ADVANCES,"Lends on credit"
ADVANCES,"Lothario's comments"
ADVANCES,"Makes progress"
ADVANCES,"They're paid against royalties"
ADVERTED,"Referred (to)"
ADVISERS,"Cabinet"
ADVISERS,"Consultants"
ADVISERS,"Counselors"
ADVISERS,"Faculty members appointed to students"
ADVISORS,"Cabinet members, e.g."
ADVISORS,"Counselors"
ADVISORS,"Safety nets"
ADVISORY,"""Weather Channel"" announcement (seemingly all the time, lately)"
ADVISORY,"Warning"
ADVISORY,"Weather ___"
ADVISORY,"Weather announcement"
ADVOCATE,"Champion"
ADVOCATE,"Part of JAG"
ADVOCATE,"Publicly recommend"
ADVOCATE,"Think best"
AEALABLE,"Like a court decision, often"
AEONFLUX,"Futuristic MTV cartoon turned into a live-action Charlize Theron movie"
AERATING,"Adding gas to"
AERATING,"Bubbling up?"
AERATING,"Making bubbles"
AERATING,"Making bubbly"
AERATION,"Aquarium bubbles"
AERATION,"Carbon dioxide treatment"
AERATION,"Exposure to oxygen"
AERATION,"Lawn improvement process"
AERATION,"Room freshener"
AERATION,"Soda-making process"
AERATION,"Treatment with carbon dioxide"
AERATION,"Ventilator's job"
AERATORS,"Aquarium accessories"
AERATORS,"Aquarium adjuncts"
AERATORS,"Aquarium gizmos"
AERATORS,"Bubble machines"
AERATORS,"Bubble makers"
AERATORS,"Kitchen faucet parts"
AERATORS,"Oxygen supplying devices"
AERATORS,"Parts of some fountain drink dispensers"
AERATORS,"Soda makers"
AERATORS,"Soda mixers"
AERATORS,"Soda-making devices"
AERIALLY,"How some crops are sprayed"
AERIALLY,"How trapeze artists perform"
AERIALLY,"In an elevated way (8)"
AERIALLY,"Via aircraft"
AERIFORM,"Gaseous"
AEROBATS,"Fancy fliers"
AEROBATS,"Stunt pilots"
AEROBICS,"Burning activity?"
AEROBICS,"Conditioning exercise"
AEROBICS,"Exercise class"
AEROBICS,"Exercises that stimulate and strengthen the heart and lungs"
AEROBICS,"Gym class set to music"
AEROBICS,"It may include a stretch or two"
AEROBICS,"Jane Fonda activity"
AEROBICS,"Richard Simmons' forte"
AEROBICS,"Sustained exercises"
AEROBICS,"Workout class"
AERODYNE,"Weighty flier"
AEROFLOT,"Flier to Omsk"
AEROFLOT,"Flier to Russia"
AEROFLOT,"One way to get to Russia"
AEROFLOT,"Russian carrier"
AEROFOIL,"Part of a British Airways jet"
AEROGRAM,"Lightweight letter"
AEROLITE,"Siliceous meteorite"
AEROLOGY,"Study of the atmosphere"
AERONAUT,"Ballon pilot"
AERONAUT,"Balloon man?"
AERONAUT,"Balloon pilot"
AERONAUT,"Balloonist"
AERONAUT,"Blimp navigator"
AERONAUT,"Dirigible pilot"
AERONAUT,"Her career is up in the air"
AERONAUT,"Montgolfier, notably"
AERONAUT,"One in a balloon"
AEROPERU,"1970s-'90s international carrier based in Lima"
AEROPERU,"Former carrier to Lima"
AEROSOLS,"""Ssss"" sources"
AEROSOLS,"Can sprays"
AEROSOLS,"Certain canned sprays"
AEROSOLS,"Contents of some cans"
AEROSOLS,"Fine mists"
AEROSOLS,"Particles of concern to climatologists"
AEROSOLS,"Some deodorants"
AEROSOLS,"Some sprays"
AEROSOLS,"Some whipped creams"
AEROSOLS,"Spray can contents"
AEROSOLS,"Spray cans"
AEROSOLS,"Sprays"
AEROSOLS,"Sprays from cans"
AEROSTAR,"'86-'97 Ford minivan"
AEROSTAR,"1980s-'90s Ford model"
AEROSTAR,"Bygone Ford minivan"
AEROSTAR,"Ford minivan mentioned in Neil Young's ""Dreamin' Man"""
AEROSTAR,"Ford's first minivan"
