AARONCOPLAND,"""A Lincoln Portrait"" composer"
APPLESFORBOB,"Contents of a fruit basket given to Mr. Hope?"
APPLESFORBOB,"Dylan not liking Dell computers?"
APPLESIGHTER,"One surveying the orchard?"
APPLESQUARES,"Computer company nerds?"
APPLYINGDOWN,"Lining with feathers?"
APPOGGIATURA,"Embellishing musical note [2005]"
APPRECHABLIS,"Considerably, in a winy sort of way?"
APPRECIATION,"An apricot pie, unusual for Thanksgiving (12)"
APPROVINGEYE,"Favorable look?"
APPTOVEDANTA,"Isherwood's treatise on philosophy: 1970"
APRETTYPENNY,"Cost of something dear"
APRILINPAIRS,"Sinatra song about playing golf during early spring?"
APRILINPARIS,"Count Basie hit / Frank Sinatra hit"
APRILSHOWERS,"1921 DeSylva/Silvers classic"
APRILSHOWERS,"Spring fall"
APRILSHOWERS,"They bring 21A in the springtime"
APRILSTEVENS,"""Deep Purple"" singer, 1963"
APRILSTEVENS,"'60s singer with Nino Tempo"
APRILSTEVENS,"She sang ""Deep Purple"" with Nino Tempo"
APRILSTEVENS,"Sheree J. Wilson's 'Dallas' role"
APRISONSPACE,"CANCEL (n.)"
APROFESSORIS,"Start of a student's comment"
APRONSTRINGS,"Symbol of dependency"
APSALMOFLIFE,"Longfellow poem featuring the line 'Footprints on the sands of time'"
APTITUDETEST,"Entrance requirement, maybe"
ARABIANHORSE,"Graceful steed"
ARABICADABRA,"Spell for making coffee appear?"
ARABSSCARABS,"Bedouins' charms?"
ARCHIBALDCOX,"First Watergate prosecutor"
ARCHIEBUNKER,"""All in the Family"" character"
ARCHIEBUNKER,"Lovable curmudgeon of 1970's TV"
ARCHIEBUNKER,"Lovable sitcom bigot"
ARCHIEBUNKER,"TV bigot"
ARCHIEBUNKER,"TV character who lived at 704 Houser Street, Queens"
ARCTICCIRCLE,"Alaska's Dalton Highway crosses it"
ARCTICCIRCLE,"Frigid group?"
ARCTICCIRCLE,"Imaginary line parallel to the equator"
ARCTICCIRCLE,"Parts of seven countries lie within it"
ARCTICCIRCLE,"See highlighted letters intersected by this answer"
ARCTICSQUARE,"Uncool Eskimo?"
AREAOFANARIA,"Crossworder's section of a solo?"
AREELECTEDBY,"Observation, part 2"
AREELECTEDBY,"Part 2 of the comment"
AREIMPORTANT,"Subject-verb agreement ___"
ARENEVERBUSY,"End of the question"
ARENEVERBUSY,"End of the question with a calling"
ARENEVERBUSY,"End of the quip"
AREYOUDECENT,"Query re nudity"
AREYOUDECENT,"Words shouted before entering a dressing room"
ARGUEAGAINST,"Buck"
ARIELUYENDYK,"Two-time Indy champ"
ARIELWARFARE,"20th-century combat, Bard-style?"
ARIFLEISCHER,"A shooter is Cher's press secretary (3,9)"
ARISTHROTTLE,"Philosophical biker?"
ARISTOPHANES,"Early comic writer"
ARKCHOCOLATE,"Noah's treat?"
ARKRAVINGMAD,"Like the beasts on Noah's boat after 40 days and 40 nights?"
ARLENSPECTER,"Former Republican-turned-Democratic senator from Pennsylvania"
ARLENSPECTER,"Keystone State senator"
ARLENSPECTER,"Pennsylvania senator"
ARLOANDJANIS,"Baby boomers first seen in 1985"
ARMANDHAMMER,"American industrialist and art collector"
ARMANDHAMMER,"Baking soda"
ARMANDHAMMER,"Baking soda brand"
ARMANDHAMMER,"USA-USSR trade pioneer"
ARMEDROBBERY,"Stickup"
ARMINTHESHOT,"Evidence of a passer-by in a photo?"
ARMISTICEDAY,"Nov. 11, 1918"
ARMISTICEDAY,"The first official one was November 11, 1919"
ARMISTICEDAY,"Today, once"
ARMOIRESADAT,"Egypt's most famous furniture designer?"
ARMOREDCARAT,"Well-defended diamond?"
ARMSYARDARMS,"Installs weapons on sailboat spars?"
ARMWRESTLING,"Hand-to-hand combat, of a sort"
ARMYFATIGUES,"""Military service leaves me pooped!"""
ARMYFATIGUES,"Surplus store outfit"
ARMYFATIGUES,"They help people blend in"
ARMYNAVYGAME,"Annual football event"
ARMYRESERVES,"Military oil supply?"
ARMYSURPLICE,"What do chaplains wear?"
ARNOLDPALMER,"1958 winner of the Masters"
ARNOLDPALMER,"Captain of the US team in the 1996 Presidents Cup"
ARNOLDPALMER,"Four-time Masters winner"
ARNOLDPALMER,"Winner of four Masters titles"
AROMATHERAPY,"Treatment using natural essences"
AROOMOFOSOWN,"1929 Virginia Woolf title"
AROSEISAROSE,"STEIN line, in part"
AROUNDGOBLET,"""Thy navel is like ___"" (Sol. 7:2)"
AROUNDROBINS,"Where worms don't last long?"
ARPGARFUNKEL,"Folksinging artist?"
ARRAIGNMENTS,"An A of A&E"
ARRANGEMENTS,"Chord progressions, e.g."
ARRANGEROVER,"Spiff up the family dog?"
ARRESTINGCOP,"Belle in blue?"
ARRESTSARTRE,"Haul in an existential author?"
ARRIVALGATES,"Taxi stops?"
ARTESIANWELL,"Substratal water source"
ARTFULDODGER,"Fagin gang member, with ""the"""
ARTFULDODGER,"Nickname of Jack Dawkins"
ARTGALLERIES,"Nude showers?"
ARTGARFUNKEL,"He and P.S. broke up in 1970 and 1988"
ARTHURHONEER,"Swiss composer"
ARTHURHONEER,"Swiss composer (1892-1955)"
ARTHURMILLER,"""Death of a Salesman"" playwright"
ARTHURMILLER,"""The Crucible"" playwright"
ARTHURMILLER,"'The ___'s Tale' (modernized tale in which the pilgrim marries Marilyn Monroe)"
ARTHURMILLER,"Author of ""Flour-Making for Ninnies""?"
ARTHURMILLER,"Chelsea Hotel resident: 1962-68"
ARTHURMILLER,"Playwright born 10/17/15"
ARTOFTHEDEAL,"Business book, with ""The"""
ARTOFTHEDEAL,"Donald Trump's self-professed talent"
ARTTOARTTALK,"Conversation between Carney and Linkletter?"
ARTTREASURES,"Very valuable paintings"
ASANDOLDLACE,"Broadway Rx for murder"
ASANDOLDLACE,"CARY GRANT FILM OF '44"
ASANDOLDLACE,"Joseph Kesselring play"
ASCOLDASHELL,"Like harsh winter weather"
ASCOTGAVOTTE,"""My Fair Lady"" musical number"
ASCREWDRIVER,"""She was thirsty, so I fixed her ___..."""
ASGOODASGOLD,"Compliment for Mary Lou Retton?"
ASHESTOASHES,"1980 David Bowie single"
ASHESTOASHES,"Graveside service phrase"
ASHESTOASHES,"Result of burning hard-woods?"
ASHWEDNESDAY,"Beginning of Lent"
ASHWEDNESDAY,"Fast start"
ASHWEDNESDAY,"Fast start?"
ASHWEDNESDAY,"First day of Lent"
ASHWEDNESDAY,"It follows Mardi Gras"
ASHWEDNESDAY,"Lent opener"
ASIATICFLUID,"Japanese sake, e.g.?"
ASIDEOFFLIES,"Snack for a spider?"
ASIDLIKETOBE,"End of the punchline"
ASILAYDYEING,"Book about a relaxed beautician?"
ASILAYFLYING,"Work by Erica Faulkner"
ASILAYLIVING,"William Faulkner antinovel?"
ASITARISBORN,"Barbra Streisand makes something to twang?"
ASITARISBORN,"Film about the lute maker's art?"
ASITARISBORN,"Instrumental Janet Gaynor film?"
ASITARISBORN,"Movie about how an Indian string instrument is made?"
ASITUSEDTOBE,"Parts 3 and 7 of the quip"
ASKINGPRICES,"Activity for comparison shoppers?"
ASKMEIFICARE,"""So?"""
ASKMETORELAX,"More of quote"
ASLONGASYOUR,"Quip, part 3"
ASNOSURPRISE,"COME ---"
ASOLDIERWHOS,"Riddle, part 5"
ASPACEHEATER,"Perfect gift for Jane Jetson?"
ASPADEASPADE,"Call ___"
ASPSATSTRAWS,"Sipping hissers?"
ASPWEDNESDAY,"Snake's holy time?"
ASSBACKWARDS,"Out of whack, or what's featured in each of this puzzle's theme answers"
ASSDISMISSED,"Doofus given a pink slip?"
ASSEMBLYLINE,"Efficient manufacturing process"
ASSEMBLYLINE,"Ford factory feature"
ASSEMBLYLINE,"Henry Ford's innovation"
ASSENTSATSEA,"AYES"
ASSISISIGNOR,"St. Francis, e.g.?"
ASSISTASSISI,"Aid an Italian town"
ASSMARKETING,"*Commercials for donkeys?"
ASSWEETASPIE,"Incredibly nice"
ASTARRISBORN,"The Counsel's biography?"
ASTEENSAMUEL,"Certain painting of an Old Testament figure by a noted Dutch artist?"
ASTERCONTROL,"*Trimming back fall flowers?"
ASTEROIDBELT,"Jose Canseco fashion accessory?"
ASTEROIDBELT,"José Canseco fashion accessory?"
ASTEROIDBELT,"Region beyond Earth"
ASTEROIDBELT,"Rock group beyond Mars"
ASTEROIDBELT,"The astronomer wore an ___"
ASTEROIDTEST,"Astronomy major's worry?"
ASTHEPRESENT,"End of the quip"
ASTHEYATTACK,"Part 4 of the question"
ASTIMEGOESBY,"'Casablanca' song"
ASTIMEGOESBY,"Song Sam played in response to ""Play it, Sam"""
ASTIMEGOESBY,"Song originally from the Broadway musical ""Everybody's Welcome"""
ASTIMEGOESBY,"What Sam played, again"
ASTISPUMANTE,"Piedmont potable"
ASTRONOUGHTS,"Houston: No hits, no runs, no errors"
ASUPERBVALUE,"Pick up a bargain!"
ASWANHIGHDAM,"Barricade just big enough to keep out certain birds?"
ATARMSLENGTH,"Close, but not too close"
ATARMSLENGTH,"Where to KEEP your distance"
ATCLOSERANGE,"""We drop bombs on Iraq from above, lacking even the courage to fight ___."""
ATEASEATEASE,"Coquette at rest: ""She was ___"""
ATEBLUEGRASS,"Farm riddle (Part 3)"
ATELIKEABIRD,"Picked at one's dinner"
ATENTHOUSAND,"More of the definition"
ATEONESWORDS,"Dined on crow?"
ATEONESWORDS,"Swallowed an autobigraphy?"
ATETYPICALLY,"Had the usual for dinner?"
ATEXHAUSTION,"Completely tuckered out?"
ATFIRSTBLUSH,"Initially"
ATFIRSTBRUSH,"Upon initially grooming one's hair?"
ATHENSGREECE,"2004 Olympics locale"
ATHENSMATINS,"Peloponnesian prayer?"
ATHENSTHANES,"Men like Macbeth sent to the Mediterranean?"
ATHENSTHANES,"Scottish lords in Greece?"
ATHLETICBALL,"Dance for Olympians?"
ATHLETICCLUB,"Place for a workout"
ATHLETICSHOE,"Track star's purchase"
ATHLETICSOCK,"Jock's footwear"
ATHLETICTYPE,"One with a gym body"
ATLANTABRAVE,"Baseballer with a tomahawk on his jersey"
ATLANTAHAWKS,"""A"" team of the NBA"
ATLANTAHAWKS,"Birds in the NBA?"
ATLANTAHAWKS,"NBA team"
ATLANTANAGER,"Peach State avifauna?"
ATLANTAPEACH,"Ty Cobb's nickname, with ""The""?"
ATLANTICCITY,"'80 Lancaster vehicle"
ATLANTICCITY,"Miss America Pageant locale"
ATLANTICCITY,"Miss America Pageant venue"
ATLANTICCITY,"Miss America venue, once"
ATLANTICCITY,"Pageant venue"
ATLEASTTHREE,"Part 2 of remark"
ATOMICBRAHMS,"Dynamite composer?"
ATOMICENERGY,"Diablo Canyon output"
ATOMICENERGY,"Fission mission"
ATOMICENERGY,"Nuke output"
ATOMICPILEUP,"Nuclear-waste truck accident?"
ATOMICSYMBOL,"Every chemical element has one"
ATOMSMASHERS,"Particle accelerators"
ATONEANDDONE,"Do a quick Erev Yom Kippur, show your face for Kol Nidre, no muss no fuss?"
ATPBAKESALES,"Fundraisers where Federer and Nadal sell Rice Krispies Treats and upside-down cake?"
ATSECONDBASE,"End of the suggestion"
ATTACKFORCEZ,"Mel Gibson war film of '81"
ATTHEDOFAHAT,"Instantly"
ATTICMONTHLY,"Newsletter for antique collectors?"
ATTICUSFINCH,"""To Kill a Mockingbird"" lawyer"
ATTICUSFINCH,"Hero of ""To Kill a Mockingbird"""
ATTICUSFINCH,"Scout leader?"
ATTICUSFINCH,"Scout's dad"
ATTILATHEHEN,"Fiercest mom in the coop?"
ATTILATHEHUN,"Beloved Infidel about..."
ATTILATHEHUN,"Feared 5th-century monarch"
ATTORNEYALAW,"___.com (e-mail address for a lawyer)"
ATWISTOFFATE,"Kismet kink?"
ATWISTOFFATE,"Plot device, perhaps"
ATYPICALMALE,"Not your everyday Y chromosome carrier?"
AUCKLNEWZEAL,"Lost tour group in South Pacific site?"
AUCTIONBLOCK,"Bridge player's bidding impediment?"
AUCTIONBLOCK,"Display platform at Sotheby's"
AUCTIONHOUSE,"Place to do one's bidding"
AUCTIONHOUSE,"Sotheby's, e.g."
AUDINEIGHBOR,"Car parked next to a German sedan?"
AUDREYJOTTER,"Note-taking actress?"
AUGUSTAMAINE,"Easternmost U.S. capital"
AUGUSTAMAINE,"State capital that starts with a month"
AUGUSTAUGUST,"Majestic summer time?"
AUGUSTOFWIND,"Stormy month?"
AUGUSTWILSON,"Eminent president during WWI?"
AUGUSTWILSON,"Pulitzer playwright, 1987, 1990"
AUGUSTWILSON,"Pulitzer winner for ""Fences"" and ""The Piano Lesson"""
AUGUSTWILSON,"Pulitzer winner for the play 'Fences'"
AUGUSTWILSON,"Vacationer's favorite playwright?"
AULDFAITHFUL,"Steamy Western attraction, today?"
AULDLANGSYNE,"Celebratory air"
AULDLANGSYNE,"DECEMBER 31ST WORDS"
AULDLANGSYNE,"New Year's tune transposed nine times in this puzzle"
AULDLANGSYNE,"Revelers' song"
AULDLANGSYNE,"Standard with a Scottish title"
AULDLANGSYNE,"This puzzle's song"
AULDLANGSYNE,"What song will be played at midnight tonight"
AUNTIEMADAME,"1958 movie about a foreign relative?"
AUNTIEMAYHEM,"Criminal Rosalind Russell role?"
AURALSURGEON,"Expert in hearing problems?"
AUSPICEGIRLS,"Lasses offering patronage?"
AUSPICEGIRLS,"Young female sponsors?"
AUSSIENELSON,"Sitcom dad in a Melbourne TV production?"
AUSTINPOWERS,"""The Battle of Texas"" prof"
AUSTINPOWERS,"Movie driver of shagadelic Jaguar XKE (6,6)"
AUSTINPOWERS,"Noted spy"
AUSTINRANGER,"Nolan Ryan, once?"
AUSTRIANLAPS,"Circuitous Tyrolean tours?"
AUTHORAUTHOR,"1982 Al Pacino movie"
AUTHORAUTHOR,"1982 movie starring Al Pacino as a playwright"
AUTHORAUTHOR,"Audience sHOut"
AUTHORAUTHOR,"Shout following a successful play"
AUTOANALYSIS,"Evaluation at the car dealer?"
AUTOANALYSIS,"Mechanic's 50-minute evaluation?"
AUTOMECHANIC,"Garage employee"
AUTOMECHANIC,"One who deals with flats"
AUTOTOTOLEDO,"Transportation for a Mud Hens' game"
AUTUMNBROWNS,"Fashionable football team"
AUTUMNLEAVES,"Season exits?"
AUTUMNLEAVES,"Seasonal song"
AUTUMNLEAVES,"September song"
AUTUMNLEAVES,"They ""drift by the window,"" in song"
AUTUMNLEAVES,"Tree droppings, in a way"
AVASTYESWABS,"Sailor's ""Halt!"""
AVERAGEGRADE,"C, sometimes"
AVIDBRINKLEY,"Enthusiastic newsman?"
AVIEWTOAKALE,"Veggie seen through the keyhole?"
AVRILLAVIGNE,"Canadian singer from Napanee, Ontario"
AWARDCLEAVER,"One who splits the prize?"
AWEINSPIRING,"""Spectacular!"""
AWEINSPIRING,"Amazing"
AWEINSPIRING,"Spectacular"
AWINTERPLACE,"Donahue film showing in Sydney?"
AWISEHUSBAND,"First part of a quip"
AWORDTOTHEYS,"Good advice, letterally speaking"
AWORDTOTHEYY,"Piece of advice"
AXAGAINLATER,"...to the lumberjack?"
AXEBODYSPRAY,"Product with sexy TV ads"
AXOFCONGRESS,"Governmental tool?"
AYEARANDADAY,"Lots, timewise"
BAAEDROMANCE,"Lady Gaga song about sheep in love?"
BAALMOVEMENT,"False idol's change of location?"
BABBLEBATTLE,"Clash over gibberish?"
BABEZAHARIAS,"Ms. Didrikson"
BABEZAHARIAS,"Three-time U.S. Women's Open winner who also won a gold medal in the javelin throw at the 1932 Summer Olympics"
BABYBACKRIBS,"Tender pork dish with barbecue sauce"
BABYBEAUTIES,"Gorgeous newborns?"
BABYBLOOMERS,"Educational toy shop patrons?"
BABYBLOOMERS,"Flower buds?"
BABYBLUEEYES,"Western plant, or a young Sinatra?"
BABYCARRIAGE,"Follower of love and marriage, in a kids' chant"
BABYCARRIAGE,"Image on a birth announcement, perhaps"
BABYCARRIAGE,"Vehicle you can push your infant in, on the sidewalk"
BABYDUMPLING,"Alexander Bumstead's childhood nickname"
BABYLONANDON,"Talk incessantly"
BABYPICTURES,"End of the quip"
BABYSCHMIDTS,"Small Pabst beers that are marketed toward sportsmen?"
BACCARATTRAP,"Casino game pitfall?"
BACCHANALIAN,"Orgiastic"
BACHELORETTE,"Unmarried young woman"
BACHELORFLAT,"Single guy's place"
BACHELORIPAD,"Tablet for a single guy?"
BACKANDFORTH,"Like a long tennis rally"
BACKBREAKING,"Arduous"
BACKBREAKING,"Physically difficult, as labor"
BACKBREAKING,"Really difficult, as labor"
BACKFILLMORE,"Support our thirteenth president?"
BACKHANDSHOT,"Evert specialty"
BACKHOMEININ,"Song sung by Jim Nabors at the Indy 500"
BACKINTHEDAY,"Mom's start"
BACKOFBEYOND,"Lonely, forsaken place"
BACKOFBEYOND,"Remote place"
BACKPEDALING,"Reversing a stand"
BACKSLAPPERS,"Effusive greeters"
BACKSLAPPING,"Condones eating soup impolitely?"
BACKSTABBERS,"1972 hit for the O'Jays"
BACKSTABBERS,"Frenemies, at times"
BACKTOSCHOOL,"Late August store sign"
BACKTOSCHOOL,"Like some late summer sales"
BACKTOSCHOOL,"Phrase welcomed by Mom"
BACKTOSCHOOL,"September catch phrase"
BACKWARDFLIP,"Gymnastics maneuver"
BACKWARDNESS,"SSEN"
BACONANDEGGS,"Actor Kevin's breakfast?"
BACONANDEGGS,"Breakfast fare"
BACONANDEGGS,"Breakfast pair"
BACONBURGERS,"Kevin's fast food?"
BACONLETTUCE,"___ and tomato"
BADAPPENDING,"Lousy job by an indexer?"
BADBEHAVIOUR,"1993 Stephen Rea/Sinead Cusack comedy"
BADFAIRGOODS,"Shabby wares sold at an expo?"
BADGOODMONEY,"Ill-advised thing to ""throw"", literally"
BADLYRUNDOWN,"CD"
BADNEWSBEARS,"1976 film about Wall Street pessimists, with ""The""?"
BADNEWSBEARS,"Awful baseball team of film"
BADNEWSBEARS,"Little League team sponsored by Chico's Bail Bonds"
BADNEWSBEARS,"Troublemaking pessimists?"
BADOFFICIALS,"Observation by essayist George Jean Nathan, part 1"
BADOFFICIALS,"Start of a comment by critic George Jean Nathan"
BADREASONING,"THEME RUNNER"
BADRECEPTION,"Awful get-together?"
BADRECEPTION,"Excellent hip-hop affair?"
BADTOTHEBALL,"Like a klutzy soccer player?"
BADTOTHEBALL,"Very rough on a piece of sports equipment?"
BADTOTHEBONE,"Thoroughly evil"
BAFFINISLAND,"Greenland neighbor"
BAGELANDLOCK,"What you need in order to be sure you'll have something to put your cream cheese on?"
BAGELSANDLOX,"Brunch combo"
BAGELSANDLOX,"Brunch offering"
BAGELSANDLOX,"Deli pair"
BAGELSANDLOX,"Popular breakfast combo"
BAGELSANDLOX,"Traditional Jewish nosh"
BAGGAGECLAIM,"""My suitcase is better than yours"""
BAGGAGECLAIM,"""My suitcase is better than yours,"" e.g."
BAGGAGECLAIM,"Airport area"
BAGGAGECLAIM,"Carousel locale"
BAGGAGECLAIM,"Request for insurance for a lost suitcase?"
BAGGROCERIES,"Steal produce?"
BAGHDADHOTEL,"Base for some Iraq contractors"
BAHRAINDRAIN,"Sink outlet in a Persian Gulf nation?"
BAILEYBRIDGE,"Army Engineers' span"
BAITANDWITCH,"Jamboree scam for hapless hags?"
BAITEDBREATH,"End of a frisky quip"
BAKEDBRIEFLY,"High, but not for long?"
BAKERASPIRIN,"Muffin maker's medicine?"
BAKERSPILEON,"Illegal post-fumble activity during the Cake Bowl"
BAKINGBBKING,"Roasting a blues legend?"
BAKINGSTONES,"Places for pizzas"
BALANCEBEAME,"Mayor's gym apparatus?"
BALANCEDDIET,"Actor Murphy kept within a sensible meal plan?"
BALANCEDDIET,"Healthy fare"
BALANCEDDIET,"Possible title for this puzzle"
BALANCEDDIET,"Singer Cochran unearthed in the food pyramid?"
BALANCEDDUET,"Evenly arranged musical composition for two?"
BALANCEDFUND,"Investment option"
BALANCESHEET,"Statement of financial position"
BALANCINGACT,"Skillful handling of many jobs"
BALDFACEDLIE,"Not just a fib"
BALDFACEDLIE,"Not just an obvious - - -, but a ___ ___"
BALDFACEDLIE,"Total bull"
BALDMOUNTAIN,"Peak in a Mussorgsky composition"
BALEBONDSMAN,"Agricultural guarantor?"
BALEPARODIST,"Person who mocks a ""Dark Knight"" actor?"
BALLADOFFIRE,"Song about the sun?"
BALLANDCHAIN,"Roller ___ (two, please)"
BALLANDCHAIN,"Special burden"
BALLBEARINGS,"Machine parts"
BALLCARRIERS,"Running backs, often"
BALLCHILLING,"Way to keep a pigskin fresh?"
BALLDROPPING,"Activity that ended at midnight"
BALLEDUPFIST,"Pugilist's weapon"
BALLETBARRIO,"Spanish dancers' residence?"
BALLETOFFIRE,"""Backdraft"" by the Bolshoi?"
BALLETSKIRTS,"Tutus"
BALLOONDOCKS,"Landing spots for aeronauts?"
BALLOONDOCKS,"Where party supplies are unloaded?"
BALLPOINTPEN,"Back-to-school item"
BALLPOINTPEN,"Essay writer's gadget"
BALLPOINTPEN,"High school student's item"
BALLPOINTPEN,"Prison writing tool?"
BALLYHOOOONA,"Give Mrs. Chaplin a lot of hype?"
BALLYSSHEEDY,"""The Breakfast Club"" actress cuts through the nonsense to portray a chain of casinos?"
BALMYWEATHER,"Pleasant climate"
BALTICAVENUE,"Certain Monopoly property"
BALTICAVENUE,"Monopoly property"
BALTICAVENUE,"Purple Monopoly property"
BALTIMEMARYL,"Tardy for shuttle in Orioles' home?"
BAMBOOSHOOTS,"Chinese stir-fry ingredients"
BAMBOOSHOOTS,"Mr. X's favorite food?"
BAMBOOSHOOTS,"Stir-fry staple"
BANANAAPPEAL,"Slippery plea to a higher court?"
BANANASSPLIT,"Fruit market report?"
BANDERSNATCH,"*Fearsome, swift-moving creature with snapping jaws"
BANDERSNATCH,"*Frumious beast"
BANDINBOSTON,"Pops outlawed?"
BANDINGMARCH,"Ornithologists' bird-tagging outing?"
BANDOFANGELS,"1957 Clark Gable flick"
BANDONTHERUM,"Boozing musicians?"
BANDONTHERUM,"Jamaican group winding down after a gig?"
BANDONTHERUM,"Tipsy rock-'n'-rollers?"
BANDONTHERUN,"1973 multi-platinum album by Wings"
BANDONTHERUN,"1973 triple-platinum album by Wings"
BANDONTHERUN,"A: You have 24 hours to arrange payment. T: (to himself) Looks like we'll be a ___ (Paul McCartney & Wings)"
BANDONTHERUN,"Loose musicians?"
BANDONTHERUN,"Wings title track"
BANGBANGPLAY,"Close call for the ump"
BANGCHERRIES,"Exploding fruit?"
BANGORBROGAN,"Maine shoe"
BANISHMODERN,"Cast out the contemporary?"
BANKBRANCHES,"Locations for some ATMs"
BANKERSHOURS,"They last less than a shift, traditionally"
BANKERSHOURS,"l0 AM to 3 PM?"
BANKERSSTRUT,"Company that deals with show-off investors?"
BANKFENGLAND,"Old Lady of Threadneedle Street"
BANKOFCANADA,"Words on a new Canadian bill"
BANNEDLEADER,"Idi Amin or Jean-Claude Duvalier?"
BANNEDLEADER,"Pol in exile?"
BANQUOSHOURS,"Easy schedule, Bard-style?"
BARBARABOXER,"California senator"
BARBARABOXER,"California senator since 1993"
BARBARABOXER,"One of 100"
BARBARABOXER,"Senate's Democratic Chief Deputy Whip"
BARBARABOXER,"West Coast Senator"
BARBECUEPITA,"Pocket full of ribs, perhaps?"
BARBECUEPITT,"Cooking area for an actor?"
BARBECUEPITT,"Rake actor Brad over the coals?"
BARBECUERODZ,"Spitz?"
BARBECUESAWS,"Utensils for overgrilled steaks?"
BARBECUETIPS,"Advice from a pro griller?"
BARBEROFSEVE,"One who gives Ballesteros a close shave?"
BARBERSCHAIR,"Place to get a buzz?"
BARBIEQUEUES,"She's forever waiting in line"
BARBREAKFAST,"Forbid a meal?"
BARDONNEZMOI,"Book of Shakespeare bloopers?"
BARDOTMATRIX,"Brigitte as a prototype?"
BARDOTOFAVON,"Sexiest bell ringer?"
BAREFACEDLIE,"Audacious fabrication"
BAREINNMINED,"Booby-trapped nudist resort?"
BAREKNUCKLED,"Without gloves"
BARELYBARLEY,"Just about cereal grain?"
BARESTOFSOAP,"That sliver in the shower?"
BARGAINBINGO,"Cheap numbers game?"
BARGERIGHTIN,"Neglect to knock"
BARINGINMIND,"Mentally disrobing someone?"
BARKINGMETER,"Kennel measuring device?"
BARKINORDERS,"Actress Ellen's commands?"
BARNABYJONES,"Buddy Ebsen role"
BARNABYRUDGE,"Stagg, Miss Miggs, and Simon Tappertit?"
BARNABYWILDE,"Hell-raising guy?"
BARNESANOBLE,"Store chain that often sells Starbucks coffee"
BARNEYGOOGLE,"Comics character with a horse named Spark Plug"
BARNEYGURGLE,"Rubble as a baby?"
BARNEYRUBBLE,"B2B opportunity for cartoon aficionados?"
BARNEYRUBBLE,"Betty's favorite caveman"
BARNEYRUBBLE,"What was left after the cable car shed burned down?"
BARNSTORMING,"Campaigning from town to town"
